time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
0,70.12,48.93,19.60,16.42,23.45,4.17,6.56,3.75,9.34,16.90,-1.41
1,70.43,49.64,19.30,16.26,23.39,4.99,6.90,5.21,9.04,15.93,-1.37
2,69.38,48.73,20.47,17.43,24.28,4.86,5.92,3.27,8.29,16.36,-0.73
3,70.03,48.48,20.26,16.77,23.38,4.30,6.55,3.66,8.76,15.69,-1.01
4,68.48,48.64,19.68,17.00,23.20,4.57,5.89,3.71,8.68,15.42,-0.31
5,67.62,47.67,19.43,15.94,21.82,4.36,6.43,4.60,8.54,15.76,-0.57
6,66.86,46.01,18.61,16.74,23.09,3.12,6.34,4.12,9.37,15.38,-1.32
7,66.42,46.84,19.50,16.14,22.90,4.25,6.19,3.37,8.00,16.19,-1.44
8,65.04,46.29,19.25,15.27,22.91,3.88,5.70,4.09,8.28,15.07,-0.87
9,64.75,44.72,18.22,14.81,21.84,4.12,6.03,2.85,8.85,15.13,-0.43
10,62.61,44.48,17.13,15.82,21.18,4.80,6.47,3.81,7.89,14.43,-1.01
11,61.98,42.61,17.41,14.44,20.97,3.71,5.73,3.99,8.85,14.27,-0.32
12,59.74,41.66,17.36,14.17,20.01,3.87,5.19,3.00,7.74,13.92,-0.20
13,58.08,40.87,16.96,14.60,19.15,4.28,4.63,3.81,8.33,13.38,-1.31
14,57.19,40.98,15.60,12.66,18.53,4.15,3.50,3.97,6.44,12.61,-1.38
15,55.58,37.93,15.83,12.90,18.33,4.19,5.65,3.39,6.67,11.79,-1.52
16,52.77,37.16,14.59,12.71,18.49,3.29,4.58,2.58,6.66,13.10,-1.40
17,52.08,36.30,14.52,12.55,17.51,3.34,5.23,3.38,6.33,12.40,-0.54
18,49.87,34.49,14.13,11.28,17.17,3.95,4.68,2.75,6.64,11.56,-0.55
19,48.26,33.56,13.62,11.81,16.27,3.21,4.42,2.48,5.83,10.66,-0.37
20,45.94,32.82,13.58,11.41,15.42,1.91,3.61,2.47,5.18,11.75,-0.56
21,44.36,31.32,12.28,10.98,15.74,3.33,3.80,1.46,5.75,10.10,0.02
22,43.00,30.07,11.37,9.72,14.15,2.97,3.23,1.79,5.65,10.46,-1.10
23,41.16,28.79,11.69,9.95,14.61,2.80,4.54,2.65,6.24,9.79,-1.23
24,39.63,28.20,10.98,9.84,13.85,2.52,4.50,2.32,5.45,9.05,-0.78
25,38.02,27.73,11.13,10.16,12.64,2.78,3.34,1.94,4.99,8.39,0.03
26,37.45,26.76,9.46,10.02,12.54,2.49,3.90,1.23,5.59,8.45,-0.14
27,35.35,24.93,10.92,8.62,12.15,1.49,3.98,2.28,3.27,8.59,0.05
28,35.16,24.33,9.91,8.03,11.83,1.88,3.00,1.76,5.10,6.65,-0.17
29,33.62,23.27,8.96,8.39,11.51,2.71,1.81,2.20,3.92,7.17,-0.38
30,32.49,22.05,9.51,7.72,10.87,1.77,3.91,1.71,4.10,7.19,-0.27
31,32.32,22.67,9.68,7.60,11.15,1.79,2.73,2.77,3.31,7.45,0.12
32,31.71,21.62,8.98,7.98,11.37,2.26,2.83,1.44,3.25,7.17,-0.32
33,30.02,21.09,9.09,6.91,10.08,1.63,3.19,1.63,4.90,8.31,0.46
34,29.67,21.78,9.10,6.78,10.10,2.07,3.48,2.36,3.78,7.27,0.41
35,29.83,21.07,9.25,6.57,10.32,1.70,2.23,1.49,3.19,7.19,-0.86
36,30.73,21.34,9.70,7.13,10.39,1.42,2.68,0.97,3.98,6.69,0.18
37,28.38,20.67,8.78,7.39,10.00,1.04,1.93,2.10,4.26,6.60,-0.80
38,30.82,21.13,8.70,6.62,10.12,2.13,3.28,1.80,3.70,6.73,0.32
39,30.88,21.01,8.36,7.21,9.77,2.22,2.93,1.30,4.74,6.60,-0.73
40,31.40,20.56,9.04,7.38,9.73,1.57,2.22,1.45,4.35,6.71,-0.28
41,31.05,21.76,9.21,7.95,10.34,2.40,2.93,1.96,4.80,6.80,0.01
42,32.99,22.07,9.24,8.10,10.72,2.17,3.48,2.61,3.40,7.54,-0.15
43,33.18,24.15,9.64,8.08,12.00,1.80,3.21,1.54,5.22,7.87,-1.34
44,35.12,24.66,9.36,8.03,12.12,1.93,3.61,1.99,4.38,9.17,0.23
45,36.59,24.95,10.49,8.14,11.56,2.68,4.09,3.04,5.28,8.56,0.03
46,37.91,25.37,12.03,9.98,12.57,2.40,3.22,2.38,4.37,7.12,-0.57
47,38.66,26.98,10.66,8.21,12.42,2.90,3.97,1.54,4.87,9.65,-0.52
48,39.50,27.31,11.45,9.83,13.71,3.20,3.47,2.15,4.54,9.45,0.11
49,40.82,29.12,11.13,9.94,14.03,2.83,3.28,2.17,4.92,10.01,-1.56
50,43.58,30.63,11.85,10.99,14.78,2.51,4.10,3.19,5.59,9.80,-0.52
51,44.03,30.80,13.41,10.04,15.89,2.95,3.54,1.62,6.41,10.53,-0.60
52,46.42,32.54,14.04,10.97,15.56,3.07,4.39,3.49,6.29,11.36,-0.70
53,48.82,33.51,13.60,10.78,17.06,2.77,3.33,3.15,6.41,11.20,-0.59
54,50.32,34.81,14.38,11.30,16.90,3.18,4.71,2.58,6.49,11.39,-1.10
55,51.79,35.80,14.84,12.49,16.67,1.88,4.78,3.08,6.53,11.54,-0.41
56,53.65,37.27,14.32,13.11,18.20,2.70,4.47,3.57,6.07,11.70,-1.31
57,55.09,38.78,16.33,14.06,18.90,3.42,4.59,4.29,7.45,13.66,-1.39
58,56.83,40.31,15.82,13.57,18.94,3.56,5.64,3.11,7.01,12.68,-0.37
59,59.41,40.62,16.86,13.96,19.02,4.11,5.52,3.72,6.90,13.22,-1.29
60,59.87,41.89,16.45,13.41,20.13,3.76,6.28,3.93,7.81,14.25,0.23
61,61.55,42.06,17.25,14.19,20.82,3.20,5.89,3.88,8.20,14.44,-0.29
62,62.83,44.53,17.33,14.43,20.89,4.34,5.48,3.82,8.57,14.43,-0.92
63,63.86,45.41,17.91,14.85,21.70,3.55,6.09,3.34,7.71,15.10,-0.55
64,65.34,46.32,18.63,16.01,22.37,3.93,6.91,3.64,7.93,14.79,-0.18
65,66.76,46.55,18.30,15.08,22.59,4.04,6.56,4.24,8.86,16.56,0.37
66,66.62,47.42,19.62,16.57,22.31,5.19,5.81,3.28,7.62,16.46,-1.33
67,68.24,47.93,18.95,16.59,23.02,4.64,6.33,4.26,8.15,16.24,-1.54
68,69.95,48.57,19.09,17.11,22.99,3.88,6.46,3.74,9.40,16.15,-0.10
69,68.38,48.06,19.97,16.18,23.05,4.37,6.97,4.17,8.63,15.63,-1.22
70,69.20,48.09,18.94,16.70,24.29,4.30,5.74,3.56,9.12,15.62,-0.67
71,69.35,50.05,20.01,16.17,23.35,3.82,6.61,3.79,9.44,15.76,-0.58
72,70.81,49.34,19.11,17.46,24.14,4.82,6.06,3.33,9.19,16.20,-0.64
73,70.87,48.57,19.32,18.00,24.62,4.65,5.98,4.00,8.27,16.27,-0.92
74,69.32,49.30,19.63,17.10,23.53,4.37,6.42,3.22,9.58,14.80,-1.55
75,69.26,48.35,19.69,16.64,23.65,4.05,6.33,4.76,8.86,16.33,-0.51
76,69.32,47.99,20.57,17.37,23.54,3.96,6.85,3.48,7.83,16.38,-0.87
77,68.42,47.73,18.99,16.13,22.80,4.83,6.01,4.08,8.03,16.19,-0.55
78,67.01,47.53,19.59,17.11,23.31,4.63,6.49,3.88,8.53,15.48,-0.54
79,66.33,46.60,19.66,16.10,22.99,4.81,6.40,2.54,8.18,14.68,-0.18
80,64.65,45.60,17.91,15.72,22.54,4.52,6.51,3.30,9.36,15.20,-0.39
81,64.04,45.43,19.21,15.22,22.21,3.40,5.98,3.27,8.25,14.18,-0.96
82,62.59,43.46,17.82,14.17,21.51,3.31,5.15,3.65,7.04,15.21,-0.24
83,61.69,43.77,18.19,14.74,20.51,3.58,5.76,2.48,7.74,14.63,-0.42
84,59.26,41.43,16.17,14.47,19.56,3.26,5.22,3.41,7.87,14.73,-0.80
85,58.00,40.23,17.26,13.97,19.03,3.88,4.84,3.94,8.25,14.55,-1.50
86,57.15,39.42,16.38,13.73,19.10,3.68,6.10,3.64,7.22,13.57,-0.24
87,55.24,39.00,14.61,12.80,18.46,2.89,5.38,3.47,6.91,12.52,-0.09
88,53.33,37.41,14.43,13.11,17.60,3.45,4.72,2.95,6.99,12.59,-1.68
89,51.77,35.83,15.01,12.66,17.05,2.77,5.08,2.97,6.42,11.69,0.49
90,50.44,34.91,14.38,11.83,16.11,3.00,5.08,2.01,6.18,10.72,-0.66
91,48.50,34.04,12.78,11.56,16.12,3.75,4.73,2.90,6.55,10.77,-1.03
92,46.67,32.05,13.34,10.68,15.71,2.85,5.24,2.56,5.84,10.94,-0.15
93,44.94,31.01,12.84,11.07,15.56,3.10,4.68,2.27,6.14,11.52,-0.35
94,42.81,30.97,12.48,9.50,14.59,3.05,3.82,2.40,6.08,10.30,-0.58
95,42.61,28.20,11.62,9.82,13.31,2.69,3.32,2.16,4.57,10.28,-1.10
96,40.17,28.42,11.53,10.22,13.46,3.24,3.51,1.88,5.07,8.94,-0.29
97,39.13,27.59,11.15,9.50,12.37,2.40,3.62,2.22,4.81,8.45,-1.36
98,37.64,25.66,10.81,8.31,11.62,2.10,3.05,2.44,4.05,8.00,-0.60
99,36.15,24.76,10.00,7.87,13.33,2.22,3.11,1.65,4.35,8.98,-0.15
100,34.64,24.03,9.15,7.79,11.90,1.89,3.76,2.06,3.81,8.25,-1.72
101,33.38,23.32,10.32,7.74,12.29,2.68,3.88,2.22,3.80,7.88,-0.40
102,32.67,22.44,9.48,7.26,10.22,2.42,3.01,1.79,4.22,7.46,-0.83
103,32.09,22.44,8.29,6.47,9.95,1.88,3.59,0.76,3.77,7.74,-0.01
104,31.76,22.32,8.28,6.87,10.53,2.07,2.73,1.73,5.18,6.49,-1.03
105,30.59,21.34,8.67,8.01,10.54,1.46,2.94,1.15,3.47,7.18,-0.81
106,29.99,21.68,8.07,7.83,10.36,1.77,2.91,2.06,4.19,7.26,-0.36
107,30.71,20.78,7.77,7.34,9.87,1.16,2.71,1.35,3.16,7.89,-0.05
108,30.49,21.55,8.45,8.41,10.27,1.52,3.10,2.51,4.27,6.73,0.19
109,29.87,21.61,8.96,7.51,10.78,1.24,2.23,2.37,3.67,7.64,-0.44
110,30.92,20.54,9.07,6.44,10.91,1.89,2.92,1.37,3.03,7.45,-1.29
111,31.00,20.67,9.17,6.63,11.20,2.54,3.40,1.29,3.35,5.72,-0.10
112,31.50,21.29,8.62,7.81,10.96,1.99,3.05,1.50,4.63,7.48,0.34
113,32.60,22.41,9.89,6.85,11.07,1.98,3.67,1.74,4.17,8.50,0.38
114,33.49,23.00,9.87,7.95,11.17,2.00,3.22,2.82,3.79,8.50,0.29
115,33.68,24.28,9.14,8.90,11.44,2.50,3.07,1.92,5.11,7.42,-1.00
116,34.19,24.42,9.65,7.86,11.34,1.17,2.73,2.30,3.78,7.19,-0.67
117,35.33,25.31,11.03,8.07,12.37,2.65,3.16,1.59,4.74,8.45,-0.20
118,38.45,25.33,10.82,9.62,12.32,2.81,2.94,2.49,4.95,7.81,-0.20
119,38.67,26.58,10.22,9.19,13.01,2.99,3.58,1.57,5.18,10.13,-0.59
120,39.67,27.60,10.83,9.33,14.04,2.27,4.26,1.98,5.20,9.71,-0.91
121,41.38,28.70,11.93,10.66,14.55,3.19,3.05,1.74,5.10,9.08,-1.01
122,44.30,30.63,12.68,10.17,14.97,3.00,4.18,1.44,5.99,9.75,-0.84
123,45.18,31.87,12.42,10.44,15.75,3.44,4.81,2.55,5.26,10.45,-0.20
124,46.83,31.88,13.90,10.89,15.65,3.97,3.74,2.60,5.35,9.88,-0.47
125,48.84,34.32,14.03,11.05,15.93,3.53,5.69,3.00,6.46,9.96,-0.87
126,49.84,34.36,14.13,11.29,16.16,2.75,3.54,2.24,6.35,11.60,-0.22
127,51.72,35.35,14.67,12.57,16.95,2.78,4.08,2.67,7.06,11.91,-0.16
128,52.93,37.16,14.54,13.72,17.67,3.45,5.25,2.72,7.15,12.48,-0.93
129,55.20,39.83,15.79,13.14,18.75,3.58,4.92,2.68,6.98,13.63,-0.63
130,57.29,39.41,16.87,13.61,18.39,3.74,5.10,3.94,7.45,12.65,-0.41
131,58.24,41.17,16.40,13.98,19.34,4.41,6.22,3.23,7.73,13.55,0.21
132,59.65,42.33,16.92,14.45,20.12,2.86,5.38,2.38,7.54,14.80,-0.38
133,60.39,43.36,16.61,15.34,20.78,3.78,5.07,4.07,7.36,13.62,-0.60
134,63.85,43.19,17.56,15.29,21.18,4.62,5.45,4.08,7.74,14.18,-1.00
135,64.23,44.46,18.55,15.56,21.20,4.28,6.58,3.53,8.98,15.39,-0.44
136,65.26,46.82,18.73,15.75,22.50,4.39,5.71,4.14,8.45,15.62,-0.88
137,66.45,46.61,18.94,16.05,22.80,4.55,6.98,2.98,9.78,15.46,0.38
138,67.84,46.65,18.92,15.50,23.06,3.58,6.67,4.72,9.64,16.00,-1.06
139,68.28,47.99,19.56,16.26,23.33,3.80,6.51,3.88,8.00,16.01,-1.42
140,68.63,48.15,19.19,16.80,23.91,4.71,5.36,4.06,8.34,16.26,-1.52
141,69.56,49.38,19.77,16.23,23.63,5.31,6.50,3.72,8.95,16.26,-0.52
142,68.75,48.89,20.19,16.47,23.15,4.31,5.88,3.94,9.13,16.94,-0.68
143,70.69,48.63,19.98,16.55,23.11,4.42,6.35,3.60,9.50,17.01,-1.07
144,69.90,49.00,20.61,16.87,24.97,4.52,6.42,4.21,9.69,16.11,-0.89
145,69.17,49.15,19.18,17.39,24.21,5.02,7.02,3.13,8.10,16.13,-0.14
146,68.84,48.69,19.21,15.46,23.12,4.52,6.71,4.80,9.21,15.92,-0.94
147,69.04,48.45,18.90,16.98,23.49,4.09,6.01,4.02,8.26,16.06,-0.74
148,69.44,48.24,19.84,17.25,23.42,4.54,6.06,3.69,9.51,16.10,-0.57
149,67.97,46.59,19.28,16.12,23.04,4.65,6.43,4.04,9.03,16.30,-1.81
150,67.13,47.01,19.89,15.32,23.26,4.41,5.83,3.92,8.42,16.41,-0.44
151,66.68,46.73,18.50,16.17,22.53,4.29,5.91,3.01,7.55,15.91,-0.75
152,64.94,46.44,18.84,15.83,22.10,4.50,6.95,3.09,8.86,14.23,-1.15
153,64.98,45.08,17.81,15.56,21.22,3.18,5.16,3.81,7.53,14.53,-1.38
154,61.95,43.54,18.72,14.98,21.96,3.74,5.91,3.39,8.81,14.95,-0.76
155,61.76,42.94,17.54,14.29,20.90,4.03,5.47,3.41,7.22,13.86,-1.46
156,59.85,41.38,17.64,15.06,20.43,3.14,4.78,4.55,6.82,14.07,-0.74
157,58.46,41.17,16.56,14.43,18.95,3.62,5.18,2.33,7.96,13.16,-1.19
158,56.37,40.11,15.76,13.41,19.17,3.26,5.68,2.86,7.00,13.14,-1.01
159,55.14,39.21,15.84,13.60,18.82,2.30,5.18,2.63,7.62,12.27,-0.71
160,53.35,37.96,15.33,12.44,17.92,3.73,5.28,2.19,6.52,12.76,-0.92
161,52.38,36.57,13.89,12.99,17.51,3.48,5.45,3.46,6.18,12.57,-0.10
162,49.66,35.21,15.13,11.63,16.94,3.74,4.34,1.96,6.12,11.61,-0.78
