time,N1,N2,N3,N4,N5,N6,N7,N8
0,45.67,35.62,33.85,39.96,33.24,30.27,27.77,27.47
1,45.48,35.32,33.66,40.18,32.82,30.38,27.58,27.73
2,45.87,35.95,33.67,40.17,33.33,30.76,27.41,27.90
3,45.61,35.94,33.79,39.89,33.43,30.70,28.08,28.25
4,45.90,36.07,34.08,40.41,33.28,30.61,28.49,28.32
5,45.84,36.43,34.47,40.46,34.05,31.47,28.68,28.59
6,46.15,36.50,34.84,40.50,34.64,31.55,28.95,29.36
7,46.26,37.24,35.56,41.05,34.55,31.91,29.60,30.08
8,46.62,37.40,35.73,41.53,35.19,32.30,30.15,30.64
9,46.39,37.83,36.15,41.63,35.59,33.47,31.11,30.85
10,46.15,38.35,36.75,41.96,35.90,33.83,31.65,31.79
11,46.37,38.89,37.34,42.39,36.47,34.40,32.49,32.24
12,46.78,39.15,37.69,42.91,37.38,35.29,33.03,33.06
13,46.77,39.93,37.85,42.74,38.11,35.79,33.82,34.02
14,46.98,39.82,39.00,43.48,38.66,36.48,34.49,34.94
15,47.17,40.68,39.62,43.73,38.84,37.33,35.42,35.97
16,47.27,41.58,40.14,44.04,39.58,38.00,36.67,36.32
17,47.58,41.89,40.84,44.20,40.02,38.95,37.04,37.11
18,47.37,42.33,41.18,44.56,40.83,39.11,38.01,37.93
19,48.05,42.74,41.90,45.26,41.86,40.22,39.03,38.89
20,48.04,43.15,42.47,45.64,42.51,40.68,39.42,39.74
21,48.25,43.47,43.04,45.83,42.58,41.32,40.03,40.39
22,48.44,44.39,43.53,45.73,43.18,41.83,40.81,40.95
23,48.27,44.51,44.13,46.26,43.24,42.69,41.47,41.32
24,48.60,44.81,44.17,46.89,44.21,43.09,42.16,42.20
25,48.62,45.16,44.87,46.52,44.15,43.59,42.43,42.24
26,48.74,45.21,45.00,47.21,44.62,43.65,42.87,43.55
27,48.67,45.51,45.40,46.83,44.81,44.32,43.44,43.75
28,49.34,45.81,45.67,47.22,45.64,44.93,43.97,43.72
29,48.99,46.54,45.68,47.44,45.61,45.01,44.05,44.27
30,48.88,46.29,45.86,47.68,45.76,45.37,44.54,44.65
31,48.97,47.19,46.31,47.80,46.13,45.02,44.65,44.86
32,49.27,46.73,46.29,47.77,46.08,45.86,45.07,44.91
33,49.26,47.09,46.52,47.42,46.18,45.76,45.25,45.39
34,49.05,46.84,46.50,47.90,46.33,45.69,44.89,45.11
35,49.29,46.85,46.96,47.81,46.82,45.82,45.08,45.39
36,49.20,46.96,46.83,48.09,46.06,45.60,45.75,45.25
37,48.94,46.73,46.70,48.32,46.30,45.66,45.21,45.39
38,48.89,47.06,46.49,47.81,46.66,45.93,45.22,45.39
39,48.73,46.99,46.63,47.71,46.32,45.53,45.12,45.14
40,48.75,46.52,46.07,47.93,46.33,45.46,45.30,45.19
41,48.97,46.55,46.07,47.58,45.99,45.31,44.72,45.01
42,49.01,46.35,46.01,47.95,45.88,45.17,44.80,44.73
43,48.82,46.31,45.76,47.54,45.64,45.32,44.33,44.01
44,48.54,45.98,45.56,47.21,45.18,44.90,43.96,43.54
45,49.04,46.22,45.68,47.24,44.84,44.07,43.71,43.36
46,48.62,45.27,44.79,46.85,44.48,43.48,43.25,43.35
47,48.25,44.86,44.41,46.92,44.36,43.55,42.63,42.72
48,48.77,45.11,43.82,46.26,43.89,42.99,41.96,42.12
49,48.28,44.82,43.98,45.90,43.84,42.32,41.51,41.76
50,48.12,43.80,43.19,45.84,42.94,41.73,40.43,40.67
51,48.16,43.94,42.84,45.90,42.72,41.82,40.20,40.21
52,48.26,43.11,42.27,45.44,42.01,40.85,39.21,39.61
53,47.39,42.88,41.88,44.86,41.68,39.70,38.78,38.82
54,47.96,42.21,41.46,44.91,41.29,39.32,38.31,38.03
55,47.68,41.95,40.43,44.58,40.43,38.86,36.97,36.98
56,47.86,40.92,40.20,43.97,39.81,38.15,36.57,36.84
57,47.55,40.85,39.44,43.46,38.94,37.02,35.52,35.52
58,47.00,40.07,38.77,43.13,38.44,36.79,34.66,34.98
59,46.98,39.77,38.69,42.74,37.97,35.95,33.82,33.90
60,46.27,39.55,37.86,42.56,37.29,35.11,33.29,33.23
61,46.55,38.69,37.40,42.31,36.96,34.44,32.30,32.82
62,46.35,38.06,36.81,41.84,36.07,33.62,31.59,31.79
63,46.29,37.63,36.43,41.86,35.72,33.31,30.81,31.00
64,46.19,37.53,35.57,41.38,34.74,32.86,29.93,30.51
65,46.21,37.22,35.43,41.30,34.94,32.00,29.43,29.78
66,46.12,36.52,35.13,40.62,34.08,31.78,29.09,29.44
67,46.00,36.54,34.90,40.59,34.10,31.19,28.64,28.73
68,46.14,35.98,34.29,40.20,33.67,30.95,28.28,28.06
69,45.74,36.25,34.34,40.28,33.29,30.95,27.96,28.02
70,45.42,35.52,33.65,40.01,33.54,30.56,27.71,28.24
71,45.93,35.87,33.68,39.97,33.24,30.57,27.71,27.86
72,45.40,35.74,33.65,40.33,33.10,30.42,27.60,27.89
73,45.51,35.49,33.65,40.05,33.07,30.75,27.60,27.64
74,45.92,35.65,33.52,40.07,33.59,30.71,27.98,28.10
75,46.03,36.04,34.19,40.14,33.12,30.62,28.18,28.16
76,46.23,36.28,34.32,40.36,33.84,31.07,28.09,28.78
77,45.45,36.47,34.66,40.67,33.94,31.27,28.78,28.84
78,46.42,36.88,35.51,40.75,34.32,31.71,29.18,29.45
79,45.99,37.31,35.24,41.10,34.30,32.06,29.56,30.09
80,46.20,37.11,35.77,41.59,35.10,32.88,30.08,30.64
