time,N9
0,-69.39
1,-69.72
2,-68.85
3,-68.67
4,-68.98
5,-68.24
6,-67.82
7,-66.22
8,-65.86
9,-63.82
10,-62.57
11,-62.74
12,-59.85
13,-58.1
14,-57.06
15,-55.48
16,-53.5
17,-52.41
18,-49.91
19,-47.85
20,-46.48
21,-44.71
22,-43.84
23,-41.34
24,-39.55
25,-38
26,-37.09
27,-35.9
28,-34.39
29,-34.68
30,-32.79
31,-32.88
32,-31.05
33,-30.5
34,-29.86
35,-28.92
36,-29.34
37,-29.96
38,-30.01
39,-30.87
40,-31.32
41,-31.3
42,-32.64
43,-33.32
44,-34.74
45,-36.44
46,-37.35
47,-38.07
48,-40.59
49,-41.06
50,-43.02
51,-44.68
52,-46.12
53,-48.12
54,-50.32
55,-51.03
56,-53.46
57,-55.47
58,-56.83
59,-58.45
60,-59.66
61,-61.43
62,-63.13
63,-64.29
64,-64.34
65,-65.88
66,-67.88
67,-68
68,-68.27
69,-69.39
70,-70.47
71,-69.26
72,-70.41
73,-70.26
74,-69.49
75,-70
76,-68.55
77,-68.06
78,-67.37
79,-65.95
80,-65.21
81,-64.16
82,-62.77
83,-62.12
84,-60.72
85,-59.21
86,-56.65
87,-55.75
88,-53.12
89,-51.53
90,-50.63
91,-48.75
92,-46.11
93,-45.58
94,-42.94
95,-41.11
96,-39.43
97,-38.37
98,-37.31
99,-35.8
100,-34.26
101,-32.78
102,-33.36
103,-31.64
104,-32.65
105,-31.08
106,-31.04
107,-29.27
108,-29.91
109,-29.77
110,-30.04
111,-30.57
112,-31.11
113,-31.07
114,-32.75
115,-32.6
116,-35.99
117,-35.92
118,-36.29
119,-38.18
120,-41.04
121,-42.48
122,-43.53
123,-44.35
124,-46.51
125,-47.74
126,-49.65
127,-52.52
128,-54.03
129,-55.02
130,-56.71
131,-58.5
132,-59.66
133,-62.15
134,-63.8
135,-64.13
136,-65.51
137,-66.52
138,-67.6
139,-67.37
140,-69.85
141,-69.69
142,-68.97
143,-70.41
144,-70.15
145,-69.96
146,-69.52
147,-69.68
148,-69.17
149,-67.9
150,-67.16
151,-66.9
152,-65.97
153,-63.39
154,-62.57
155,-61.07
156,-60.36
157,-58.07
158,-57.2
159,-55.45
160,-53.39
161,-51.76
162,-50.68
163,-48.44
164,-46.75
165,-44.42
166,-42.72
167,-41.54
168,-40.17
169,-37.56
170,-37.57
171,-35.7
172,-34.35
173,-34.08
174,-32.34
175,-32.76
176,-31.33
177,-30.71
178,-29.98
179,-30.35
180,-29.93
181,-29.48
182,-30.68
183,-30.35
184,-31.2
185,-32.6
186,-32.84
187,-32.83
188,-35.39
189,-36.02
190,-37.07
191,-37.59
192,-40.5
193,-41.89
194,-44.24
195,-45.19
196,-47.28
197,-48.19
198,-50.03
199,-51.53
200,-53.84
201,-55.27
202,-56.51
203,-58.92
204,-59.26
205,-61.93
206,-63.26
207,-64.2
208,-64.64
209,-66.58
210,-67.46
211,-67.85
212,-67.74
213,-68.27
214,-69.46
215,-70.03
216,-70.06
217,-70.3
218,-69.9
219,-69.18
220,-68.34
221,-67.24
222,-66.66
223,-66.52
224,-64.63
225,-63.98
226,-62.45
227,-61.06
228,-59.76
229,-58.64
230,-56.69
231,-55.05
232,-53.77
233,-51.56
234,-50.01
235,-48.39
236,-46.85
237,-44.7
238,-42.65
239,-40.58
240,-39.74
241,-39.05
242,-37.84
243,-36.07
244,-34.12
245,-34.52
246,-32.19
247,-31.21
248,-31.55
249,-31.36
250,-30.65
251,-30.12
252,-29.85
253,-30.07
254,-29.91
255,-30.18
256,-31.05
257,-31.87
258,-33.38
259,-33.96
260,-33.93
261,-35.21
262,-37.16
263,-38.77
264,-39.45
265,-42.25
266,-43.62
267,-44.66
268,-46.89
269,-47.96
270,-50.94
271,-52.03
272,-52.86
273,-55.69
274,-56.19
275,-58.69
276,-59.92
277,-62.24
278,-62.46
279,-63.49
280,-65.68
281,-67.03
282,-66.91
283,-68.89
284,-69.42
285,-69.59
286,-69.42
287,-69.07
288,-69.61
289,-69.74
290,-69.1
291,-69.96
292,-68.5
293,-67.55
294,-68.35
295,-66.29
296,-64.65
297,-63.89
298,-62.86
299,-60.55
300,-60.38
301,-58.4
302,-56.57
303,-54.01
304,-52.73
305,-51.91
306,-49.61
307,-49.06
308,-45.89
309,-44.88
310,-44.2
311,-40.7
312,-40.1
313,-39.3
314,-38.08
315,-35.89
316,-34.56
317,-33.59
318,-31.87
319,-32.46
320,-31.8
321,-30.48
322,-29.52
323,-30.05
324,-29.64
325,-29.99
326,-30.7
327,-29.53
328,-30.14
329,-32.84
330,-32.83
331,-32.98
332,-34.55
333,-35.96
334,-37.02
335,-38.69
336,-40.36
337,-42.03
338,-44.13
339,-44.23
340,-46.32
341,-48.51
342,-49.84
343,-51.99
344,-53.05
345,-54.74
346,-56.73
347,-58.28
348,-61.11
349,-60.55
350,-62.37
351,-64.46
352,-64.12
353,-66.83
354,-66.94
355,-68.47
356,-68.35
357,-69.63
358,-68.81
359,-70.51
360,-70.27
361,-69.26
362,-69.09
363,-69
364,-68.63
365,-67.79
366,-68.69
367,-66.17
368,-65.5
369,-64.1
370,-62.78
371,-62.52
372,-60.19
373,-58.31
374,-56.82
375,-55.3
376,-53.74
377,-51.77
378,-49.43
379,-48.93
380,-46.84
381,-44.43
382,-43.34
383,-41.38
384,-40.24
385,-37.79
386,-38.28
387,-36.12
388,-34.62
389,-33.75
390,-32.86
391,-32.49
392,-31.53
393,-30.06
394,-29.55
