time,N1,N2,N3,N4,N5,N6,N7,N8
0,45.68,35.64,33.76,40.06,33.06,30.29,27.57,27.75
1,45.69,35.67,33.79,40.08,33.10,30.33,27.62,27.80
2,45.72,35.76,33.89,40.14,33.20,30.45,27.75,27.93
3,45.76,35.90,34.05,40.24,33.37,30.65,27.97,28.15
4,45.82,36.10,34.27,40.37,33.60,30.92,28.28,28.46
5,45.89,36.35,34.55,40.54,33.89,31.26,28.67,28.84
6,45.98,36.64,34.89,40.75,34.24,31.67,29.14,29.30
7,46.09,36.99,35.28,40.99,34.65,32.14,29.67,29.83
8,46.20,37.37,35.71,41.25,35.10,32.66,30.27,30.43
9,46.33,37.79,36.19,41.54,35.59,33.24,30.92,31.08
10,46.46,38.24,36.69,41.85,36.12,33.86,31.63,31.77
11,46.61,38.71,37.23,42.18,36.68,34.51,32.37,32.51
12,46.76,39.21,37.79,42.53,37.27,35.19,33.14,33.28
13,46.91,39.72,38.37,42.88,37.87,35.89,33.94,34.07
14,47.06,40.24,38.96,43.24,38.48,36.60,34.75,34.87
15,47.22,40.76,39.55,43.60,39.10,37.32,35.57,35.68
16,47.38,41.28,40.14,43.96,39.71,38.03,36.38,36.49
17,47.53,41.80,40.72,44.32,40.32,38.74,37.18,37.29
18,47.68,42.30,41.29,44.67,40.92,39.43,37.97,38.07
19,47.83,42.79,41.84,45.01,41.49,40.10,38.74,38.83
20,47.97,43.26,42.38,45.33,42.05,40.75,39.47,39.56
21,48.11,43.71,42.89,45.65,42.58,41.37,40.18,40.25
22,48.24,44.14,43.37,45.94,43.08,41.95,40.84,40.91
23,48.36,44.54,43.82,46.22,43.55,42.50,41.46,41.53
24,48.47,44.91,44.24,46.47,43.99,43.01,42.04,42.11
25,48.57,45.25,44.63,46.71,44.39,43.48,42.58,42.64
26,48.66,45.56,44.98,46.93,44.76,43.91,43.06,43.12
27,48.75,45.84,45.29,47.12,45.09,44.29,43.50,43.55
28,48.82,46.09,45.58,47.29,45.39,44.63,43.89,43.94
29,48.89,46.31,45.82,47.44,45.65,44.93,44.23,44.28
30,48.95,46.50,46.04,47.57,45.87,45.19,44.53,44.57
31,48.99,46.66,46.22,47.68,46.05,45.41,44.78,44.82
32,49.03,46.78,46.36,47.77,46.21,45.59,44.98,45.02
33,49.06,46.88,46.47,47.84,46.32,45.72,45.13,45.17
34,49.08,46.95,46.55,47.89,46.41,45.82,45.24,45.28
35,49.10,47.00,46.60,47.92,46.46,45.88,45.31,45.35
36,49.10,47.01,46.62,47.93,46.47,45.90,45.33,45.37
37,49.10,47.00,46.60,47.92,46.46,45.88,45.31,45.35
38,49.08,46.95,46.55,47.89,46.41,45.82,45.24,45.28
39,49.06,46.88,46.47,47.84,46.32,45.72,45.13,45.17
40,49.03,46.78,46.36,47.77,46.21,45.59,44.98,45.02
41,48.99,46.66,46.22,47.68,46.05,45.41,44.78,44.82
42,48.95,46.50,46.04,47.57,45.87,45.19,44.53,44.57
43,48.89,46.31,45.82,47.44,45.65,44.93,44.23,44.28
44,48.82,46.09,45.58,47.29,45.39,44.63,43.89,43.94
45,48.75,45.84,45.29,47.12,45.09,44.29,43.50,43.55
46,48.66,45.56,44.98,46.93,44.76,43.91,43.06,43.12
47,48.57,45.25,44.63,46.71,44.39,43.48,42.58,42.64
48,48.47,44.91,44.24,46.47,43.99,43.01,42.04,42.11
49,48.36,44.54,43.82,46.22,43.55,42.50,41.46,41.53
50,48.24,44.14,43.37,45.94,43.08,41.95,40.84,40.91
51,48.11,43.71,42.89,45.65,42.58,41.37,40.18,40.25
52,47.97,43.26,42.38,45.33,42.05,40.75,39.47,39.56
53,47.83,42.79,41.84,45.01,41.49,40.10,38.74,38.83
54,47.68,42.30,41.29,44.67,40.92,39.43,37.97,38.07
55,47.53,41.80,40.72,44.32,40.32,38.74,37.18,37.29
56,47.38,41.28,40.14,43.96,39.71,38.03,36.38,36.49
57,47.22,40.76,39.55,43.60,39.10,37.32,35.57,35.68
58,47.06,40.24,38.96,43.24,38.48,36.60,34.75,34.87
59,46.91,39.72,38.37,42.88,37.87,35.89,33.94,34.07
60,46.76,39.21,37.79,42.53,37.27,35.19,33.14,33.28
61,46.61,38.71,37.23,42.18,36.68,34.51,32.37,32.51
62,46.46,38.24,36.69,41.85,36.12,33.86,31.63,31.77
63,46.33,37.79,36.19,41.54,35.59,33.24,30.92,31.08
64,46.20,37.37,35.71,41.25,35.10,32.66,30.27,30.43
65,46.09,36.99,35.28,40.99,34.65,32.14,29.67,29.83
66,45.98,36.64,34.89,40.75,34.24,31.67,29.14,29.30
67,45.89,36.35,34.55,40.54,33.89,31.26,28.67,28.84
68,45.82,36.10,34.27,40.37,33.60,30.92,28.28,28.46
69,45.76,35.90,34.05,40.24,33.37,30.65,27.97,28.15
70,45.72,35.76,33.89,40.14,33.20,30.45,27.75,27.93
71,45.69,35.67,33.79,40.08,33.10,30.33,27.62,27.80
72,45.68,35.64,33.76,40.06,33.06,30.29,27.57,27.75
73,45.69,35.67,33.79,40.08,33.10,30.33,27.62,27.80
74,45.72,35.76,33.89,40.14,33.20,30.45,27.75,27.93
75,45.76,35.90,34.05,40.24,33.37,30.65,27.97,28.15
76,45.82,36.10,34.27,40.37,33.60,30.92,28.28,28.46
77,45.89,36.35,34.55,40.54,33.89,31.26,28.67,28.84
78,45.98,36.64,34.89,40.75,34.24,31.67,29.14,29.30
79,46.09,36.99,35.28,40.99,34.65,32.14,29.67,29.83
80,46.20,37.37,35.71,41.25,35.10,32.66,30.27,30.43
81,46.33,37.79,36.19,41.54,35.59,33.24,30.92,31.08
82,46.46,38.24,36.69,41.85,36.12,33.86,31.63,31.77
83,46.61,38.71,37.23,42.18,36.68,34.51,32.37,32.51
84,46.76,39.21,37.79,42.53,37.27,35.19,33.14,33.28
85,46.91,39.72,38.37,42.88,37.87,35.89,33.94,34.07
86,47.06,40.24,38.96,43.24,38.48,36.60,34.75,34.87
87,47.22,40.76,39.55,43.60,39.10,37.32,35.57,35.68
88,47.38,41.28,40.14,43.96,39.71,38.03,36.38,36.49
89,47.53,41.80,40.72,44.32,40.32,38.74,37.18,37.29
90,47.68,42.30,41.29,44.67,40.92,39.43,37.97,38.07
91,47.83,42.79,41.84,45.01,41.49,40.10,38.74,38.83
92,47.97,43.26,42.38,45.33,42.05,40.75,39.47,39.56
93,48.11,43.71,42.89,45.65,42.58,41.37,40.18,40.25
94,48.24,44.14,43.37,45.94,43.08,41.95,40.84,40.91
95,48.36,44.54,43.82,46.22,43.55,42.50,41.46,41.53
96,48.47,44.91,44.24,46.47,43.99,43.01,42.04,42.11
97,48.57,45.25,44.63,46.71,44.39,43.48,42.58,42.64
98,48.66,45.56,44.98,46.93,44.76,43.91,43.06,43.12
99,48.75,45.84,45.29,47.12,45.09,44.29,43.50,43.55
100,48.82,46.09,45.58,47.29,45.39,44.63,43.89,43.94
101,48.89,46.31,45.82,47.44,45.65,44.93,44.23,44.28
102,48.95,46.50,46.04,47.57,45.87,45.19,44.53,44.57
103,48.99,46.66,46.22,47.68,46.05,45.41,44.78,44.82
104,49.03,46.78,46.36,47.77,46.21,45.59,44.98,45.02
105,49.06,46.88,46.47,47.84,46.32,45.72,45.13,45.17
106,49.08,46.95,46.55,47.89,46.41,45.82,45.24,45.28
107,49.10,47.00,46.60,47.92,46.46,45.88,45.31,45.35
108,49.10,47.01,46.62,47.93,46.47,45.90,45.33,45.37
109,49.10,47.00,46.60,47.92,46.46,45.88,45.31,45.35
110,49.08,46.95,46.55,47.89,46.41,45.82,45.24,45.28
111,49.06,46.88,46.47,47.84,46.32,45.72,45.13,45.17
112,49.03,46.78,46.36,47.77,46.21,45.59,44.98,45.02
113,48.99,46.66,46.22,47.68,46.05,45.41,44.78,44.82
114,48.95,46.50,46.04,47.57,45.87,45.19,44.53,44.57
115,48.89,46.31,45.82,47.44,45.65,44.93,44.23,44.28
116,48.82,46.09,45.58,47.29,45.39,44.63,43.89,43.94
117,48.75,45.84,45.29,47.12,45.09,44.29,43.50,43.55
118,48.66,45.56,44.98,46.93,44.76,43.91,43.06,43.12
119,48.57,45.25,44.63,46.71,44.39,43.48,42.58,42.64
120,48.47,44.91,44.24,46.47,43.99,43.01,42.04,42.11
121,48.36,44.54,43.82,46.22,43.55,42.50,41.46,41.53
122,48.24,44.14,43.37,45.94,43.08,41.95,40.84,40.91
123,48.11,43.71,42.89,45.65,42.58,41.37,40.18,40.25
124,47.97,43.26,42.38,45.33,42.05,40.75,39.47,39.56
125,47.83,42.79,41.84,45.01,41.49,40.10,38.74,38.83
126,47.68,42.30,41.29,44.67,40.92,39.43,37.97,38.07
127,47.53,41.80,40.72,44.32,40.32,38.74,37.18,37.29
128,47.38,41.28,40.14,43.96,39.71,38.03,36.38,36.49
129,47.22,40.76,39.55,43.60,39.10,37.32,35.57,35.68
130,47.06,40.24,38.96,43.24,38.48,36.60,34.75,34.87
131,46.91,39.72,38.37,42.88,37.87,35.89,33.94,34.07
132,46.76,39.21,37.79,42.53,37.27,35.19,33.14,33.28
133,46.61,38.71,37.23,42.18,36.68,34.51,32.37,32.51
134,46.46,38.24,36.69,41.85,36.12,33.86,31.63,31.77
