time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
0,71.04,48.40,20.06,16.04,24.12,4.98,5.98,3.42,8.18,16.39,-1.08
1,70.27,49.58,19.89,16.57,23.46,4.25,7.00,3.77,10.05,16.67,-0.28
2,69.83,49.00,20.08,16.48,22.78,4.65,6.49,4.22,8.76,16.82,-0.26
3,69.99,47.60,19.56,17.28,23.99,5.08,7.15,4.85,9.10,15.92,-0.31
4,67.73,47.20,19.32,16.24,22.95,5.55,5.50,4.24,9.56,15.94,0.36
5,68.48,48.29,18.73,15.66,23.22,3.99,6.15,4.77,8.10,15.52,-2.15
6,66.38,47.23,19.20,16.60,22.34,3.46,6.02,3.83,8.38,15.65,-1.12
7,66.04,46.04,19.00,17.13,22.54,4.94,6.15,3.56,8.01,15.02,-0.54
8,65.77,45.64,19.46,15.62,21.50,3.52,6.87,3.64,8.84,14.66,-1.28
9,63.83,44.57,17.76,15.92,21.64,3.70,6.64,3.02,8.13,14.80,-1.41
10,62.69,43.79,18.66,15.69,22.30,4.13,5.70,3.66,8.89,14.51,-1.89
11,61.30,41.89,17.74,15.08,20.54,2.86,5.91,3.79,8.05,14.04,-1.38
12,59.78,41.88,17.18,14.53,19.39,4.56,5.95,2.66,7.28,14.04,-0.42
13,58.25,40.89,15.47,13.48,19.58,3.31,5.59,2.80,8.18,13.27,-0.74
14,57.50,39.44,17.20,13.66,19.79,2.84,4.91,3.76,7.07,13.91,0.00
15,54.80,38.21,15.29,13.80,18.91,2.27,6.09,3.33,6.74,13.29,-0.50
16,53.12,36.79,15.73,12.41,17.29,3.85,4.64,3.85,7.16,13.11,0.03
17,51.89,36.88,14.86,13.52,16.98,3.26,6.15,1.43,6.78,12.73,-0.82
18,49.75,34.59,14.10,12.44,16.51,3.78,4.05,2.18,6.23,11.92,-0.36
19,46.78,34.18,13.68,11.97,16.59,2.11,4.83,3.00,6.14,11.56,-1.08
20,46.28,31.80,13.43,10.21,15.90,2.10,4.83,2.29,5.30,11.45,-0.88
21,45.52,32.25,13.52,10.26,15.33,2.49,4.48,3.22,6.49,11.03,-0.33
22,42.96,29.71,11.68,10.50,14.21,3.14,4.02,2.51,4.68,10.62,-0.42
23,41.51,29.01,10.99,10.33,14.09,3.84,3.79,2.11,5.81,10.21,-0.81
24,40.31,27.40,11.10,9.41,13.49,2.50,3.45,2.02,5.01,9.66,-0.57
25,37.93,26.23,10.00,8.42,13.10,2.45,4.24,2.49,4.88,8.99,-1.44
26,36.67,25.77,10.75,8.82,13.11,2.63,2.75,1.30,4.22,8.61,-1.09
27,35.28,25.93,9.27,9.59,12.89,1.90,3.13,1.49,4.80,8.07,-0.35
28,34.69,24.03,10.03,8.46,11.26,2.25,2.88,1.13,4.09,8.32,0.04
29,34.34,23.49,9.85,7.70,11.77,1.58,4.08,1.55,4.50,7.45,0.17
30,32.32,23.17,8.61,8.34,10.92,1.93,3.62,2.61,3.66,7.94,-1.81
31,31.21,22.56,9.56,7.93,10.91,2.72,3.00,2.43,3.68,7.44,-0.39
32,30.79,22.03,8.00,7.29,10.39,2.03,3.04,1.16,3.33,6.96,-1.48
33,31.28,20.60,8.07,6.76,10.74,2.82,2.64,2.20,3.38,7.17,-0.68
34,29.64,21.20,8.99,7.95,10.77,2.22,3.03,1.49,4.78,7.14,-1.00
35,30.25,21.38,8.83,7.48,10.52,2.73,2.52,1.24,3.94,7.07,-1.09
36,29.21,21.09,8.70,7.26,9.48,3.00,3.28,2.16,3.50,7.07,-0.06
37,29.59,20.95,8.60,7.20,10.33,1.59,3.02,1.73,4.03,7.89,0.34
38,30.14,21.93,9.05,7.49,10.22,2.17,3.32,1.49,3.81,6.66,-0.07
39,30.57,22.18,9.46,7.83,10.02,1.34,3.30,2.19,3.09,6.67,-0.14
40,31.33,21.72,9.27,7.69,11.03,2.34,2.45,1.15,4.32,6.60,-0.12
41,31.78,22.73,8.78,7.57,10.77,2.27,3.33,1.42,3.90,8.27,-0.44
42,33.01,22.77,10.38,8.23,10.72,2.92,3.33,1.11,2.96,7.40,0.54
43,34.06,23.06,9.26,8.96,11.07,2.45,2.91,2.06,3.56,7.86,-0.19
44,35.19,24.69,10.23,8.80,11.45,2.66,4.38,2.65,4.47,8.39,-0.07
45,35.59,24.43,10.39,8.83,11.70,2.26,3.13,3.03,4.94,9.41,0.31
46,37.68,25.41,9.97,8.38,12.14,2.60,4.36,1.36,5.41,8.69,-0.57
47,38.82,26.91,10.98,9.32,12.27,2.41,2.90,2.58,5.27,8.70,-1.42
48,40.09,28.12,11.55,10.27,13.56,1.59,3.35,2.15,5.12,9.25,0.18
49,41.51,29.37,12.63,10.38,14.17,2.91,4.44,2.29,5.54,9.83,-0.56
50,44.32,30.36,12.25,10.57,15.25,2.81,3.71,2.23,5.79,10.30,-0.82
51,44.71,31.47,13.27,10.78,15.13,3.09,4.29,2.01,5.59,11.20,-0.97
52,46.09,31.95,13.14,11.21,15.09,3.23,4.13,2.64,5.89,10.92,-0.29
53,48.80,33.20,14.13,11.58,16.65,2.59,4.79,2.93,5.56,12.02,-0.71
54,49.91,36.02,14.60,12.40,17.27,3.66,5.13,2.21,6.71,11.96,-1.61
55,51.94,35.85,14.75,12.68,17.09,2.84,5.10,3.05,5.90,12.82,0.48
56,53.61,38.02,14.85,12.69,17.75,3.18,5.00,2.09,6.87,12.10,0.12
57,55.61,39.01,14.99,13.76,18.58,3.12,5.69,3.69,6.86,12.44,-0.31
58,57.33,39.20,16.38,13.94,19.36,4.73,5.87,2.75,7.79,12.85,-1.35
59,58.11,40.61,17.52,14.33,19.59,3.50,5.83,4.45,8.03,13.52,-1.21
60,60.52,41.64,16.52,13.80,20.71,3.53,5.69,3.47,7.19,13.51,-1.00
