time,N1,N2,N3,N4,N5,N6,N7,N8
0,45.44,35.62,33.79,40.60,33.13,30.68,27.43,27.85
1,45.86,35.97,33.93,39.70,33.12,30.34,27.41,27.89
2,45.57,35.44,33.78,40.06,33.16,30.58,27.75,27.95
3,46.08,35.72,34.22,40.12,33.39,30.69,27.63,28.30
4,45.95,36.10,34.14,40.43,33.56,30.83,28.15,28.61
5,45.76,36.49,34.76,40.55,33.88,31.29,28.62,28.87
6,45.54,36.38,35.14,40.73,34.33,31.85,29.11,29.06
7,46.33,36.92,35.27,40.66,35.01,32.02,29.72,29.89
8,46.03,37.19,35.97,41.50,35.18,32.77,30.26,30.65
9,46.54,37.77,36.39,41.44,35.76,33.25,31.00,30.76
10,46.63,38.36,36.72,41.78,35.71,33.85,31.71,31.84
11,46.47,39.13,37.68,42.01,36.41,34.51,32.63,32.81
12,46.48,39.21,37.62,42.54,37.26,35.03,33.11,33.20
13,46.71,39.79,38.43,42.99,37.54,35.60,33.73,34.26
14,47.04,40.02,39.01,43.69,38.30,36.82,34.41,35.03
15,47.38,40.89,39.23,43.55,39.28,37.68,35.51,36.07
16,47.29,41.17,40.36,43.83,39.81,37.81,36.51,36.54
17,47.53,41.68,40.62,44.17,40.09,38.82,36.93,37.32
18,47.55,42.19,41.47,44.53,41.10,39.35,38.02,37.90
19,47.95,42.73,41.87,45.07,41.53,40.22,38.86,38.65
20,48.04,43.11,42.45,45.85,42.02,40.51,39.68,39.78
21,48.12,43.77,42.96,45.77,42.52,41.24,40.33,40.39
22,48.34,44.12,43.38,46.01,42.94,42.10,40.80,41.01
23,48.47,44.64,43.83,45.97,43.10,42.74,41.49,41.45
24,48.34,45.14,44.45,46.35,43.79,43.06,41.98,42.34
25,48.37,45.72,44.53,46.86,44.26,43.53,42.44,42.64
26,48.86,45.41,44.98,46.92,44.99,43.67,43.20,43.08
27,48.69,45.91,45.66,47.17,45.11,43.96,43.40,43.33
28,49.03,46.29,45.64,47.33,45.54,44.74,43.94,44.05
29,49.24,46.27,45.94,47.56,45.89,45.11,44.33,43.82
30,48.95,46.32,45.82,47.30,45.55,45.02,44.24,44.61
31,48.77,46.36,46.44,47.83,46.18,45.19,44.74,44.93
32,49.20,46.50,46.43,48.09,46.24,45.78,44.65,45.26
33,49.12,46.88,46.53,47.88,46.27,45.73,45.23,44.82
34,48.91,46.82,46.53,47.68,46.39,46.02,45.46,45.21
35,49.49,47.26,46.53,47.77,46.80,46.19,44.96,45.17
36,48.92,46.94,46.48,47.56,46.29,45.86,45.08,44.82
37,49.00,47.04,46.45,47.85,46.91,45.77,45.20,45.39
38,49.22,46.89,46.57,47.56,46.34,45.55,45.63,44.73
39,49.26,47.09,46.47,47.82,46.29,45.97,45.33,44.80
40,48.69,46.59,46.03,48.04,46.08,45.46,44.78,44.75
41,49.25,47.00,45.85,47.88,46.11,45.21,44.68,44.65
42,48.96,46.49,45.58,47.67,45.77,45.27,44.29,44.58
43,49.04,46.09,45.99,47.37,45.71,45.25,44.08,44.11
44,48.78,46.18,45.30,47.45,45.39,44.61,43.86,44.05
45,49.06,45.81,44.83,46.96,45.33,44.57,43.49,43.68
46,49.02,45.56,44.77,46.69,44.85,43.81,42.93,42.92
47,48.42,44.71,44.41,46.83,44.53,43.57,42.79,42.58
48,48.28,44.46,44.10,46.26,44.17,42.95,41.83,41.88
49,48.00,44.10,43.51,45.89,43.43,42.40,41.62,41.56
50,48.07,44.05,43.15,45.93,42.74,42.22,41.07,40.75
51,47.98,43.40,42.45,45.40,42.44,41.11,39.92,40.12
52,48.26,43.61,42.69,45.41,42.24,40.77,39.46,39.50
53,48.07,42.78,42.08,44.72,41.54,40.31,38.79,38.67
54,47.62,42.38,41.25,45.15,40.72,39.46,37.96,38.21
55,47.53,41.93,40.77,43.95,40.43,38.54,37.45,37.39
56,47.46,41.32,40.26,44.50,39.73,37.90,36.27,36.51
57,47.51,40.47,39.45,42.95,38.94,37.47,35.47,35.57
58,47.21,40.51,38.70,43.37,38.78,36.44,35.02,34.77
59,47.11,39.97,38.34,42.86,37.44,35.92,33.95,34.04
60,46.63,39.57,37.50,42.59,37.31,35.34,32.98,33.29
61,46.77,38.50,37.24,42.18,36.83,34.23,32.51,32.57
62,46.41,38.67,36.88,41.72,36.06,33.81,31.45,31.71
63,46.42,37.68,36.25,41.53,35.73,33.45,30.93,31.25
64,46.35,37.67,35.22,41.43,34.94,32.58,30.24,30.57
65,46.34,37.25,35.19,41.05,34.48,32.18,29.68,29.51
66,45.99,36.58,35.00,40.73,34.54,31.70,29.10,29.75
67,45.92,36.27,34.61,40.41,33.57,31.34,28.57,28.27
68,46.00,35.90,34.23,39.95,33.80,30.75,28.09,28.65
69,45.89,35.91,33.78,40.20,33.37,31.14,27.71,28.19
70,45.95,35.48,34.03,39.93,33.16,30.39,27.79,27.98
71,45.69,35.67,33.67,39.91,32.98,30.33,27.53,27.83
72,45.94,35.27,33.64,40.03,32.58,30.24,27.67,27.54
73,45.68,35.55,33.99,39.77,33.21,30.56,27.37,27.85
74,45.40,35.72,34.01,40.14,33.32,30.58,27.92,27.67
75,45.75,35.87,33.72,40.12,33.40,30.58,28.06,28.04
76,45.88,36.02,34.39,40.04,33.76,31.44,28.24,28.80
77,45.71,36.47,34.40,40.42,33.56,31.05,28.95,28.88
78,46.04,36.46,34.77,40.87,33.79,31.73,29.43,29.45
79,45.88,37.09,35.65,40.83,34.66,32.16,29.51,29.55
80,46.08,37.63,35.82,41.24,34.81,32.88,30.60,30.27
81,46.51,38.00,36.20,41.45,35.34,33.39,30.90,30.97
82,46.50,38.46,36.94,41.71,36.14,34.25,31.57,32.03
83,46.78,38.57,37.32,42.08,36.59,34.75,32.19,32.34
84,46.94,39.20,37.46,42.54,37.02,35.28,32.88,33.19
85,46.58,39.31,38.20,43.07,37.89,35.56,33.99,34.39
86,46.96,40.20,39.22,43.55,38.61,36.57,34.60,34.75
87,46.74,40.64,39.53,43.87,39.29,37.46,35.42,35.60
88,47.05,41.55,40.18,43.84,39.39,38.23,36.50,36.04
89,47.00,41.52,40.75,44.46,39.91,38.64,36.93,37.33
90,48.01,42.48,41.44,44.87,40.78,39.50,37.72,38.11
91,47.85,42.83,42.02,44.97,41.24,39.80,38.91,38.92
92,48.19,43.13,42.44,45.41,41.92,40.75,39.09,39.73
93,47.87,43.58,43.23,45.82,42.50,41.57,39.88,40.22
94,48.64,44.17,43.32,45.77,43.08,42.09,40.81,41.04
95,48.61,44.53,44.01,46.20,43.22,42.33,41.68,41.61
96,48.57,44.83,44.19,46.58,44.08,42.56,42.00,42.29
97,48.50,45.34,44.52,46.60,44.09,43.40,42.71,43.02
98,48.68,45.65,44.88,46.83,44.87,43.74,43.31,43.08
99,48.75,46.23,45.27,47.26,45.13,44.02,43.71,43.71
100,48.83,45.70,45.74,47.39,45.33,44.74,43.75,44.33
101,48.85,46.55,45.86,47.54,45.66,44.57,44.33,44.69
102,48.99,46.40,46.06,47.51,46.06,45.41,44.45,44.32
103,49.04,46.35,46.47,47.53,45.98,45.35,44.96,44.67
104,49.46,46.87,46.07,48.12,46.21,45.32,44.65,44.82
105,48.89,47.05,46.57,47.84,46.27,45.81,45.13,44.93
106,49.26,46.57,46.51,47.92,46.24,45.77,45.35,44.97
107,49.27,46.96,46.76,48.02,46.28,45.70,45.09,45.22
108,49.13,46.90,46.45,47.90,46.73,45.98,45.06,44.99
109,49.21,47.14,46.39,48.13,46.44,45.92,45.60,45.47
110,48.96,46.96,46.28,47.78,46.40,45.70,45.40,45.47
111,49.04,46.74,46.11,47.75,46.13,45.26,45.16,45.10
112,48.75,46.79,46.32,48.03,46.29,45.60,44.93,44.69
113,49.01,46.47,46.29,47.61,45.85,45.06,44.78,45.05
114,49.00,46.33,46.21,47.61,45.95,45.27,44.72,44.64
115,49.11,46.34,45.43,47.74,45.61,45.17,44.19,44.60
116,48.97,46.06,45.71,47.22,45.66,44.62,43.57,43.88
117,48.64,46.09,45.15,47.09,44.97,44.37,43.26,43.54
118,49.04,45.59,45.30,46.69,45.02,43.89,42.81,43.25
119,48.66,45.39,44.62,46.96,44.38,43.36,42.58,42.79
120,48.49,45.26,44.21,46.37,43.98,43.06,42.29,42.35
121,48.11,44.44,43.71,46.36,43.46,42.38,41.47,41.42
122,48.16,44.12,43.58,45.73,43.21,42.22,41.00,41.10
123,48.28,44.16,42.64,45.84,42.73,41.40,40.38,40.20
124,47.99,43.57,42.30,45.39,41.89,41.02,39.25,39.55
125,48.20,42.62,41.75,44.67,41.45,40.12,38.70,38.87
126,47.67,42.13,41.17,45.08,40.57,39.42,38.12,38.10
127,47.59,42.00,40.92,44.45,40.45,38.98,37.16,37.08
128,47.00,41.27,40.15,44.28,39.30,38.14,36.40,36.28
129,47.13,40.84,39.37,43.32,39.03,37.16,35.63,35.24
130,46.91,40.38,38.71,43.19,38.50,36.80,34.81,34.95
131,46.83,39.59,38.64,42.94,37.68,35.96,33.91,34.28
132,47.26,39.37,38.07,42.93,37.50,34.99,33.23,33.32
133,46.59,39.24,37.42,41.91,36.78,34.62,32.32,32.26
134,46.65,38.10,36.56,41.96,36.55,34.02,31.66,31.92
135,46.07,37.70,36.09,41.75,35.67,33.52,30.74,30.99
136,46.37,37.15,35.45,41.26,35.24,32.70,30.40,30.19
137,46.04,37.01,35.40,40.89,35.00,31.73,29.33,29.76
138,46.07,36.41,34.94,40.53,34.08,31.60,29.12,29.33
139,45.80,36.33,34.79,40.50,33.92,31.07,28.41,28.83
140,45.50,36.10,33.92,40.41,33.70,31.18,28.16,28.22
141,45.77,35.93,34.02,40.28,33.12,30.48,28.38,28.15
142,45.74,35.56,33.82,40.43,33.05,30.62,27.60,27.87
143,45.89,35.40,33.78,40.01,32.62,30.38,27.79,27.96
144,45.40,35.63,33.78,40.06,33.17,30.01,27.63,27.99
145,45.63,35.86,34.05,40.04,33.11,30.53,27.45,27.65
146,45.61,36.28,33.64,40.29,32.83,30.57,27.72,27.62
147,45.97,35.92,34.14,40.18,33.22,30.37,27.73,28.09
148,45.81,36.19,34.17,40.39,33.72,31.00,28.08,28.27
149,45.81,36.72,34.27,40.20,33.89,31.29,28.65,28.46
150,46.16,36.74,35.03,40.60,34.23,31.73,29.21,29.38
151,46.19,37.30,35.17,41.18,34.55,32.35,29.78,29.66
152,46.15,37.44,35.82,41.24,35.45,32.67,30.12,30.51
153,46.26,37.63,36.07,41.90,35.38,33.15,30.99,30.87
154,46.41,37.51,36.63,41.96,36.40,33.89,31.92,31.70
155,46.48,38.78,37.34,42.47,36.64,34.38,32.25,32.63
156,46.45,39.29,37.69,42.54,37.43,35.74,32.87,33.33
157,47.07,39.76,38.46,42.73,37.94,36.07,33.87,33.76
158,47.15,40.25,38.72,43.07,38.78,36.91,34.71,34.90
159,47.53,40.49,39.64,43.43,38.80,37.36,35.67,36.02
160,47.49,41.17,40.81,44.17,40.25,38.00,36.35,36.83
161,47.72,41.84,40.20,44.07,40.26,38.74,37.19,36.71
162,47.78,42.18,41.16,44.60,40.94,39.36,38.19,38.27
163,47.61,42.77,41.60,45.05,41.10,40.01,38.93,39.03
164,47.65,43.31,42.07,45.42,41.91,40.67,39.38,39.70
165,47.91,43.60,43.05,45.71,42.64,41.10,40.11,40.34
166,48.28,44.16,43.43,46.04,43.13,42.12,40.82,40.96
167,48.44,44.78,43.66,45.53,43.72,42.50,41.47,41.52
168,48.55,45.23,44.42,46.61,43.71,43.47,41.92,41.99
169,48.55,45.30,44.31,47.12,44.51,43.81,42.70,42.82
170,48.68,45.36,44.57,46.99,44.70,43.98,43.05,43.29
171,48.53,45.85,44.98,46.99,45.14,44.18,43.25,43.59
172,48.61,46.54,45.35,47.38,45.28,44.68,43.91,43.70
173,49.20,46.28,45.80,47.42,45.85,44.89,44.07,43.92
174,49.23,46.47,45.93,47.50,45.56,44.90,44.31,44.36
175,48.87,46.77,46.03,48.00,46.21,45.75,44.85,44.65
176,48.73,46.99,46.25,47.61,46.18,45.73,44.82,45.19
177,49.03,46.41,46.65,47.83,46.32,45.69,45.21,45.52
178,49.04,47.06,46.55,47.88,46.30,45.75,45.33,45.19
179,49.24,47.23,46.57,47.97,46.42,45.78,45.71,45.63
180,49.19,47.36,46.99,48.02,46.40,46.10,45.24,45.11
181,48.83,47.16,46.82,47.77,46.44,46.20,45.21,45.38
182,49.17,47.30,46.48,47.85,46.51,45.82,45.68,44.81
183,49.03,47.09,46.34,48.12,46.07,46.05,45.31,45.49
184,48.88,46.81,46.42,47.73,46.36,45.47,44.51,44.89
185,49.00,46.80,46.23,47.44,46.10,45.38,44.91,44.81
186,49.13,46.35,45.96,47.93,46.00,45.15,44.70,44.44
187,49.02,46.21,45.88,47.87,45.44,44.72,44.26,44.11
188,48.47,46.29,45.55,47.04,45.41,44.88,43.74,43.91
189,48.50,45.96,45.02,47.05,44.75,44.77,43.51,43.68
190,48.58,45.35,45.39,47.00,44.90,43.79,43.07,43.25
191,48.58,45.23,44.29,46.39,44.19,43.71,42.56,42.56
192,48.85,44.94,44.59,46.45,44.11,43.36,41.84,41.95
193,48.52,44.50,43.68,46.20,43.46,42.70,41.62,41.69
194,48.20,43.84,43.40,45.57,43.01,42.18,41.14,41.23
195,48.30,43.80,42.91,45.31,42.40,41.19,40.65,40.16
196,48.10,43.14,42.40,45.27,41.69,40.79,39.58,39.26
197,47.85,43.10,41.42,44.71,41.18,40.20,38.55,39.41
198,47.91,42.27,41.31,45.00,40.78,39.67,38.13,37.72
199,47.80,41.69,40.79,44.10,40.48,38.85,36.93,37.19
200,47.34,41.18,40.17,44.31,39.66,37.82,36.49,36.24
201,46.92,40.39,39.53,43.51,38.76,36.83,35.77,35.79
202,47.23,40.56,39.16,43.11,38.82,36.79,34.88,34.59
203,46.91,39.77,38.49,42.32,37.77,36.15,33.56,33.87
204,46.73,39.25,37.79,42.84,36.90,35.44,33.27,33.27
205,46.60,38.70,37.06,42.00,36.81,34.54,32.33,32.57
206,46.53,38.18,36.71,41.84,36.26,33.98,31.97,31.52
207,46.13,38.01,36.72,41.38,35.31,33.26,30.66,30.99
208,46.25,37.64,35.48,41.39,35.18,32.94,30.39,30.28
209,46.17,36.62,35.31,40.61,34.61,32.12,29.81,29.96
210,46.02,36.82,34.98,40.50,34.08,31.78,29.07,29.23
211,45.72,36.40,34.38,40.54,34.18,31.23,28.39,29.00
212,45.69,35.84,34.43,40.11,33.48,30.85,28.28,28.38
213,45.71,35.92,33.99,40.17,33.21,30.80,27.92,28.37
214,45.65,35.94,33.75,40.04,33.02,30.65,27.79,28.02
215,45.37,35.68,33.92,40.40,33.00,30.37,27.82,27.63
216,45.40,35.67,33.77,39.86,33.26,30.37,27.47,27.97
217,45.86,35.69,33.87,40.05,32.97,30.41,27.83,27.65
218,46.16,35.68,33.84,39.86,33.27,30.51,27.73,27.95
219,45.68,35.65,34.04,40.25,33.42,30.45,28.20,28.41
220,45.89,36.36,34.63,40.44,33.83,31.28,28.44,28.39
221,45.83,36.22,34.34,40.67,34.00,31.37,28.67,28.98
222,46.24,36.99,34.70,40.70,34.42,31.60,29.02,29.04
223,46.44,36.72,35.20,41.07,34.46,32.55,29.89,29.76
224,46.02,37.59,36.34,41.07,34.86,32.50,30.38,30.33
225,46.36,37.63,36.17,41.76,35.45,33.07,31.04,31.04
226,46.32,38.06,36.76,41.91,36.04,34.14,31.94,32.02
227,46.75,38.73,37.10,41.73,36.94,34.14,32.59,32.46
228,46.59,39.46,37.66,42.30,37.03,35.17,33.23,33.18
229,47.13,39.72,38.59,42.92,37.85,36.28,33.94,34.13
230,47.18,39.94,39.09,43.02,38.76,36.38,34.72,34.82
231,46.92,40.61,39.32,43.80,39.18,37.53,35.21,35.52
232,47.19,40.99,40.43,44.00,39.53,38.07,36.20,36.66
