time,N9
0,-69.92
1,-69.89
2,-70.46
3,-69.26
4,-69.40
5,-68.19
6,-67.47
7,-66.78
8,-65.64
9,-64.81
10,-63.04
11,-61.30
12,-60.54
13,-58.95
14,-56.69
15,-56.16
16,-53.74
17,-51.03
18,-50.63
19,-47.85
20,-46.99
21,-44.09
22,-43.15
23,-41.92
24,-41.11
25,-38.19
26,-36.57
27,-34.92
28,-35.38
29,-33.82
30,-33.09
31,-31.77
32,-30.91
33,-30.81
34,-30.23
35,-29.67
36,-29.10
37,-30.74
38,-30.26
39,-30.08
40,-30.59
41,-32.41
42,-32.15
43,-33.14
44,-34.19
45,-35.84
46,-37.11
47,-38.25
48,-39.48
49,-41.78
50,-42.57
51,-45.53
52,-46.80
53,-47.77
54,-49.79
55,-51.96
56,-53.83
57,-54.23
58,-55.92
59,-58.42
60,-61.23
61,-61.56
62,-62.63
63,-64.36
64,-65.68
65,-65.23
66,-67.65
67,-68.30
68,-69.02
69,-69.88
70,-69.45
71,-70.50
72,-69.31
73,-69.88
74,-69.20
75,-69.47
76,-68.39
77,-68.90
78,-67.39
79,-67.02
80,-65.39
81,-64.37
82,-62.80
83,-61.22
84,-60.20
85,-59.52
86,-56.42
87,-55.41
88,-52.95
89,-50.75
90,-49.98
91,-48.07
92,-46.40
93,-45.61
94,-43.28
95,-41.77
96,-39.88
97,-38.66
98,-37.13
99,-36.04
100,-34.64
101,-33.89
102,-33.72
103,-32.31
104,-31.32
105,-30.62
106,-30.58
107,-30.29
108,-28.81
109,-30.95
110,-30.98
111,-31.41
112,-30.24
113,-31.66
114,-32.39
115,-34.35
116,-34.93
117,-35.79
118,-36.52
119,-38.47
120,-40.47
121,-41.06
122,-42.79
123,-45.41
124,-46.67
125,-49.54
126,-48.97
127,-51.65
128,-52.75
129,-55.14
130,-57.22
131,-58.59
132,-59.33
133,-60.76
134,-62.68
135,-63.13
136,-65.11
137,-65.86
138,-68.12
139,-69.33
140,-68.43
141,-68.60
142,-69.47
143,-70.94
144,-68.86
145,-69.33
146,-68.93
147,-68.96
148,-68.72
149,-68.72
150,-67.48
151,-66.71
152,-64.65
153,-63.73
154,-62.88
155,-61.27
156,-61.03
157,-58.05
158,-56.66
159,-55.46
160,-53.51
161,-51.60
162,-50.52
163,-48.27
164,-46.83
165,-44.93
166,-44.27
167,-42.26
168,-39.83
169,-38.11
170,-37.71
171,-34.99
172,-33.77
173,-33.61
174,-32.05
175,-31.85
176,-31.26
177,-30.76
178,-30.30
179,-29.56
180,-30.22
181,-29.65
182,-30.74
