time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
0,70.00,48.99,19.85,16.81,23.53,4.45,6.51,3.95,8.90,16.30,-0.90
1,69.92,48.93,19.83,16.79,23.51,4.45,6.50,3.94,8.89,16.28,-0.90
2,69.70,48.77,19.77,16.74,23.43,4.44,6.48,3.93,8.86,16.23,-0.89
3,69.32,48.51,19.66,16.65,23.30,4.41,6.45,3.91,8.81,16.14,-0.89
4,68.79,48.14,19.51,16.52,23.13,4.38,6.40,3.88,8.75,16.02,-0.88
5,68.13,47.68,19.32,16.36,22.90,4.34,6.34,3.84,8.66,15.86,-0.87
6,67.32,47.11,19.09,16.17,22.63,4.28,6.26,3.79,8.56,15.67,-0.86
7,66.38,46.46,18.83,15.94,22.32,4.22,6.17,3.74,8.44,15.46,-0.85
8,65.32,45.71,18.53,15.69,21.96,4.16,6.08,3.68,8.31,15.21,-0.84
9,64.14,44.89,18.19,15.41,21.56,4.08,5.97,3.62,8.16,14.93,-0.82
10,62.86,43.99,17.83,15.10,21.13,4.00,5.85,3.54,7.99,14.63,-0.81
11,61.47,43.02,17.44,14.76,20.67,3.91,5.72,3.46,7.82,14.31,-0.79
12,60.00,41.99,17.02,14.41,20.17,3.82,5.58,3.38,7.63,13.97,-0.77
13,58.45,40.91,16.58,14.04,19.65,3.72,5.44,3.29,7.43,13.61,-0.75
14,56.84,39.78,16.12,13.65,19.11,3.62,5.29,3.20,7.23,13.23,-0.73
15,55.18,38.61,15.65,13.25,18.55,3.51,5.13,3.11,7.02,12.85,-0.71
16,53.47,37.42,15.17,12.84,17.98,3.40,4.97,3.01,6.80,12.45,-0.69
17,51.74,36.21,14.68,12.43,17.40,3.29,4.81,2.92,6.58,12.05,-0.66
18,50.00,34.99,14.18,12.01,16.81,3.18,4.65,2.82,6.36,11.64,-0.64
19,48.26,33.77,13.69,11.59,16.22,3.07,4.49,2.72,6.14,11.24,-0.62
20,46.53,32.56,13.20,11.17,15.64,2.96,4.33,2.62,5.92,10.83,-0.60
21,44.82,31.37,12.71,10.77,15.07,2.85,4.17,2.53,5.70,10.44,-0.58
22,43.16,30.20,12.24,10.37,14.51,2.75,4.01,2.43,5.49,10.05,-0.55
23,41.55,29.08,11.78,9.98,13.97,2.64,3.86,2.34,5.28,9.67,-0.53
24,40.00,27.99,11.35,9.61,13.45,2.55,3.72,2.25,5.09,9.31,-0.51
25,38.53,26.96,10.93,9.25,12.95,2.45,3.58,2.17,4.90,8.97,-0.49
26,37.14,25.99,10.54,8.92,12.49,2.36,3.46,2.09,4.72,8.65,-0.48
27,35.86,25.09,10.17,8.61,12.05,2.28,3.34,2.02,4.56,8.35,-0.46
28,34.68,24.27,9.84,8.33,11.66,2.21,3.23,1.95,4.41,8.07,-0.45
29,33.62,23.53,9.53,8.07,11.30,2.14,3.13,1.89,4.27,7.83,-0.43
30,32.68,22.87,9.27,7.85,10.99,2.08,3.04,1.84,4.16,7.61,-0.42
31,31.87,22.31,9.04,7.66,10.72,2.03,2.96,1.80,4.05,7.42,-0.41
32,31.21,21.84,8.85,7.50,10.49,1.99,2.90,1.76,3.97,7.27,-0.40
33,30.68,21.47,8.70,7.37,10.31,1.95,2.85,1.73,3.90,7.14,-0.39
34,30.30,21.21,8.60,7.28,10.19,1.93,2.82,1.71,3.85,7.06,-0.39
35,30.08,21.05,8.53,7.22,10.11,1.91,2.80,1.70,3.82,7.00,-0.39
36,30.00,20.99,8.51,7.21,10.09,1.91,2.79,1.69,3.81,6.99,-0.39
37,30.08,21.05,8.53,7.22,10.11,1.91,2.80,1.70,3.82,7.00,-0.39
38,30.30,21.21,8.60,7.28,10.19,1.93,2.82,1.71,3.85,7.06,-0.39
39,30.68,21.47,8.70,7.37,10.31,1.95,2.85,1.73,3.90,7.14,-0.39
40,31.21,21.84,8.85,7.50,10.49,1.99,2.90,1.76,3.97,7.27,-0.40
41,31.87,22.31,9.04,7.66,10.72,2.03,2.96,1.80,4.05,7.42,-0.41
42,32.68,22.87,9.27,7.85,10.99,2.08,3.04,1.84,4.16,7.61,-0.42
43,33.62,23.53,9.53,8.07,11.30,2.14,3.13,1.89,4.27,7.83,-0.43
44,34.68,24.27,9.84,8.33,11.66,2.21,3.23,1.95,4.41,8.07,-0.45
45,35.86,25.09,10.17,8.61,12.05,2.28,3.34,2.02,4.56,8.35,-0.46
46,37.14,25.99,10.54,8.92,12.49,2.36,3.46,2.09,4.72,8.65,-0.48
47,38.53,26.96,10.93,9.25,12.95,2.45,3.58,2.17,4.90,8.97,-0.49
48,40.00,27.99,11.35,9.61,13.45,2.55,3.72,2.25,5.09,9.31,-0.51
49,41.55,29.08,11.78,9.98,13.97,2.64,3.86,2.34,5.28,9.67,-0.53
50,43.16,30.20,12.24,10.37,14.51,2.75,4.01,2.43,5.49,10.05,-0.55
51,44.82,31.37,12.71,10.77,15.07,2.85,4.17,2.53,5.70,10.44,-0.58
52,46.53,32.56,13.20,11.17,15.64,2.96,4.33,2.62,5.92,10.83,-0.60
53,48.26,33.77,13.69,11.59,16.22,3.07,4.49,2.72,6.14,11.24,-0.62
54,50.00,34.99,14.18,12.01,16.81,3.18,4.65,2.82,6.36,11.64,-0.64
55,51.74,36.21,14.68,12.43,17.40,3.29,4.81,2.92,6.58,12.05,-0.66
56,53.47,37.42,15.17,12.84,17.98,3.40,4.97,3.01,6.80,12.45,-0.69
57,55.18,38.61,15.65,13.25,18.55,3.51,5.13,3.11,7.02,12.85,-0.71
58,56.84,39.78,16.12,13.65,19.11,3.62,5.29,3.20,7.23,13.23,-0.73
59,58.45,40.91,16.58,14.04,19.65,3.72,5.44,3.29,7.43,13.61,-0.75
60,60.00,41.99,17.02,14.41,20.17,3.82,5.58,3.38,7.63,13.97,-0.77
61,61.47,43.02,17.44,14.76,20.67,3.91,5.72,3.46,7.82,14.31,-0.79
62,62.86,43.99,17.83,15.10,21.13,4.00,5.85,3.54,7.99,14.63,-0.81
63,64.14,44.89,18.19,15.41,21.56,4.08,5.97,3.62,8.16,14.93,-0.82
64,65.32,45.71,18.53,15.69,21.96,4.16,6.08,3.68,8.31,15.21,-0.84
65,66.38,46.46,18.83,15.94,22.32,4.22,6.17,3.74,8.44,15.46,-0.85
66,67.32,47.11,19.09,16.17,22.63,4.28,6.26,3.79,8.56,15.67,-0.86
67,68.13,47.68,19.32,16.36,22.90,4.34,6.34,3.84,8.66,15.86,-0.87
68,68.79,48.14,19.51,16.52,23.13,4.38,6.40,3.88,8.75,16.02,-0.88
69,69.32,48.51,19.66,16.65,23.30,4.41,6.45,3.91,8.81,16.14,-0.89
70,69.70,48.77,19.77,16.74,23.43,4.44,6.48,3.93,8.86,16.23,-0.89
71,69.92,48.93,19.83,16.79,23.51,4.45,6.50,3.94,8.89,16.28,-0.90
72,70.00,48.99,19.85,16.81,23.53,4.45,6.51,3.95,8.90,16.30,-0.90
73,69.92,48.93,19.83,16.79,23.51,4.45,6.50,3.94,8.89,16.28,-0.90
74,69.70,48.77,19.77,16.74,23.43,4.44,6.48,3.93,8.86,16.23,-0.89
75,69.32,48.51,19.66,16.65,23.30,4.41,6.45,3.91,8.81,16.14,-0.89
76,68.79,48.14,19.51,16.52,23.13,4.38,6.40,3.88,8.75,16.02,-0.88
77,68.13,47.68,19.32,16.36,22.90,4.34,6.34,3.84,8.66,15.86,-0.87
78,67.32,47.11,19.09,16.17,22.63,4.28,6.26,3.79,8.56,15.67,-0.86
79,66.38,46.46,18.83,15.94,22.32,4.22,6.17,3.74,8.44,15.46,-0.85
80,65.32,45.71,18.53,15.69,21.96,4.16,6.08,3.68,8.31,15.21,-0.84
81,64.14,44.89,18.19,15.41,21.56,4.08,5.97,3.62,8.16,14.93,-0.82
82,62.86,43.99,17.83,15.10,21.13,4.00,5.85,3.54,7.99,14.63,-0.81
83,61.47,43.02,17.44,14.76,20.67,3.91,5.72,3.46,7.82,14.31,-0.79
84,60.00,41.99,17.02,14.41,20.17,3.82,5.58,3.38,7.63,13.97,-0.77
85,58.45,40.91,16.58,14.04,19.65,3.72,5.44,3.29,7.43,13.61,-0.75
86,56.84,39.78,16.12,13.65,19.11,3.62,5.29,3.20,7.23,13.23,-0.73
87,55.18,38.61,15.65,13.25,18.55,3.51,5.13,3.11,7.02,12.85,-0.71
88,53.47,37.42,15.17,12.84,17.98,3.40,4.97,3.01,6.80,12.45,-0.69
89,51.74,36.21,14.68,12.43,17.40,3.29,4.81,2.92,6.58,12.05,-0.66
90,50.00,34.99,14.18,12.01,16.81,3.18,4.65,2.82,6.36,11.64,-0.64
91,48.26,33.77,13.69,11.59,16.22,3.07,4.49,2.72,6.14,11.24,-0.62
92,46.53,32.56,13.20,11.17,15.64,2.96,4.33,2.62,5.92,10.83,-0.60
93,44.82,31.37,12.71,10.77,15.07,2.85,4.17,2.53,5.70,10.44,-0.58
94,43.16,30.20,12.24,10.37,14.51,2.75,4.01,2.43,5.49,10.05,-0.55
95,41.55,29.08,11.78,9.98,13.97,2.64,3.86,2.34,5.28,9.67,-0.53
96,40.00,27.99,11.35,9.61,13.45,2.55,3.72,2.25,5.09,9.31,-0.51
97,38.53,26.96,10.93,9.25,12.95,2.45,3.58,2.17,4.90,8.97,-0.49
98,37.14,25.99,10.54,8.92,12.49,2.36,3.46,2.09,4.72,8.65,-0.48
99,35.86,25.09,10.17,8.61,12.05,2.28,3.34,2.02,4.56,8.35,-0.46
100,34.68,24.27,9.84,8.33,11.66,2.21,3.23,1.95,4.41,8.07,-0.45
101,33.62,23.53,9.53,8.07,11.30,2.14,3.13,1.89,4.27,7.83,-0.43
102,32.68,22.87,9.27,7.85,10.99,2.08,3.04,1.84,4.16,7.61,-0.42
103,31.87,22.31,9.04,7.66,10.72,2.03,2.96,1.80,4.05,7.42,-0.41
104,31.21,21.84,8.85,7.50,10.49,1.99,2.90,1.76,3.97,7.27,-0.40
105,30.68,21.47,8.70,7.37,10.31,1.95,2.85,1.73,3.90,7.14,-0.39
106,30.30,21.21,8.60,7.28,10.19,1.93,2.82,1.71,3.85,7.06,-0.39
107,30.08,21.05,8.53,7.22,10.11,1.91,2.80,1.70,3.82,7.00,-0.39
108,30.00,20.99,8.51,7.21,10.09,1.91,2.79,1.69,3.81,6.99,-0.39
109,30.08,21.05,8.53,7.22,10.11,1.91,2.80,1.70,3.82,7.00,-0.39
110,30.30,21.21,8.60,7.28,10.19,1.93,2.82,1.71,3.85,7.06,-0.39
111,30.68,21.47,8.70,7.37,10.31,1.95,2.85,1.73,3.90,7.14,-0.39
112,31.21,21.84,8.85,7.50,10.49,1.99,2.90,1.76,3.97,7.27,-0.40
113,31.87,22.31,9.04,7.66,10.72,2.03,2.96,1.80,4.05,7.42,-0.41
114,32.68,22.87,9.27,7.85,10.99,2.08,3.04,1.84,4.16,7.61,-0.42
115,33.62,23.53,9.53,8.07,11.30,2.14,3.13,1.89,4.27,7.83,-0.43
116,34.68,24.27,9.84,8.33,11.66,2.21,3.23,1.95,4.41,8.07,-0.45
117,35.86,25.09,10.17,8.61,12.05,2.28,3.34,2.02,4.56,8.35,-0.46
118,37.14,25.99,10.54,8.92,12.49,2.36,3.46,2.09,4.72,8.65,-0.48
119,38.53,26.96,10.93,9.25,12.95,2.45,3.58,2.17,4.90,8.97,-0.49
120,40.00,27.99,11.35,9.61,13.45,2.55,3.72,2.25,5.09,9.31,-0.51
121,41.55,29.08,11.78,9.98,13.97,2.64,3.86,2.34,5.28,9.67,-0.53
122,43.16,30.20,12.24,10.37,14.51,2.75,4.01,2.43,5.49,10.05,-0.55
123,44.82,31.37,12.71,10.77,15.07,2.85,4.17,2.53,5.70,10.44,-0.58
124,46.53,32.56,13.20,11.17,15.64,2.96,4.33,2.62,5.92,10.83,-0.60
125,48.26,33.77,13.69,11.59,16.22,3.07,4.49,2.72,6.14,11.24,-0.62
126,50.00,34.99,14.18,12.01,16.81,3.18,4.65,2.82,6.36,11.64,-0.64
127,51.74,36.21,14.68,12.43,17.40,3.29,4.81,2.92,6.58,12.05,-0.66
128,53.47,37.42,15.17,12.84,17.98,3.40,4.97,3.01,6.80,12.45,-0.69
129,55.18,38.61,15.65,13.25,18.55,3.51,5.13,3.11,7.02,12.85,-0.71
130,56.84,39.78,16.12,13.65,19.11,3.62,5.29,3.20,7.23,13.23,-0.73
131,58.45,40.91,16.58,14.04,19.65,3.72,5.44,3.29,7.43,13.61,-0.75
132,60.00,41.99,17.02,14.41,20.17,3.82,5.58,3.38,7.63,13.97,-0.77
133,61.47,43.02,17.44,14.76,20.67,3.91,5.72,3.46,7.82,14.31,-0.79
134,62.86,43.99,17.83,15.10,21.13,4.00,5.85,3.54,7.99,14.63,-0.81
135,64.14,44.89,18.19,15.41,21.56,4.08,5.97,3.62,8.16,14.93,-0.82
136,65.32,45.71,18.53,15.69,21.96,4.16,6.08,3.68,8.31,15.21,-0.84
137,66.38,46.46,18.83,15.94,22.32,4.22,6.17,3.74,8.44,15.46,-0.85
138,67.32,47.11,19.09,16.17,22.63,4.28,6.26,3.79,8.56,15.67,-0.86
139,68.13,47.68,19.32,16.36,22.90,4.34,6.34,3.84,8.66,15.86,-0.87
140,68.79,48.14,19.51,16.52,23.13,4.38,6.40,3.88,8.75,16.02,-0.88
141,69.32,48.51,19.66,16.65,23.30,4.41,6.45,3.91,8.81,16.14,-0.89
142,69.70,48.77,19.77,16.74,23.43,4.44,6.48,3.93,8.86,16.23,-0.89
143,69.92,48.93,19.83,16.79,23.51,4.45,6.50,3.94,8.89,16.28,-0.90
144,70.00,48.99,19.85,16.81,23.53,4.45,6.51,3.95,8.90,16.30,-0.90
145,69.92,48.93,19.83,16.79,23.51,4.45,6.50,3.94,8.89,16.28,-0.90
146,69.70,48.77,19.77,16.74,23.43,4.44,6.48,3.93,8.86,16.23,-0.89
147,69.32,48.51,19.66,16.65,23.30,4.41,6.45,3.91,8.81,16.14,-0.89
148,68.79,48.14,19.51,16.52,23.13,4.38,6.40,3.88,8.75,16.02,-0.88
149,68.13,47.68,19.32,16.36,22.90,4.34,6.34,3.84,8.66,15.86,-0.87
150,67.32,47.11,19.09,16.17,22.63,4.28,6.26,3.79,8.56,15.67,-0.86
151,66.38,46.46,18.83,15.94,22.32,4.22,6.17,3.74,8.44,15.46,-0.85
152,65.32,45.71,18.53,15.69,21.96,4.16,6.08,3.68,8.31,15.21,-0.84
153,64.14,44.89,18.19,15.41,21.56,4.08,5.97,3.62,8.16,14.93,-0.82
154,62.86,43.99,17.83,15.10,21.13,4.00,5.85,3.54,7.99,14.63,-0.81
155,61.47,43.02,17.44,14.76,20.67,3.91,5.72,3.46,7.82,14.31,-0.79
156,60.00,41.99,17.02,14.41,20.17,3.82,5.58,3.38,7.63,13.97,-0.77
157,58.45,40.91,16.58,14.04,19.65,3.72,5.44,3.29,7.43,13.61,-0.75
158,56.84,39.78,16.12,13.65,19.11,3.62,5.29,3.20,7.23,13.23,-0.73
159,55.18,38.61,15.65,13.25,18.55,3.51,5.13,3.11,7.02,12.85,-0.71
160,53.47,37.42,15.17,12.84,17.98,3.40,4.97,3.01,6.80,12.45,-0.69
161,51.74,36.21,14.68,12.43,17.40,3.29,4.81,2.92,6.58,12.05,-0.66
162,50.00,34.99,14.18,12.01,16.81,3.18,4.65,2.82,6.36,11.64,-0.64
163,48.26,33.77,13.69,11.59,16.22,3.07,4.49,2.72,6.14,11.24,-0.62
164,46.53,32.56,13.20,11.17,15.64,2.96,4.33,2.62,5.92,10.83,-0.60
165,44.82,31.37,12.71,10.77,15.07,2.85,4.17,2.53,5.70,10.44,-0.58
166,43.16,30.20,12.24,10.37,14.51,2.75,4.01,2.43,5.49,10.05,-0.55
167,41.55,29.08,11.78,9.98,13.97,2.64,3.86,2.34,5.28,9.67,-0.53
168,40.00,27.99,11.35,9.61,13.45,2.55,3.72,2.25,5.09,9.31,-0.51
169,38.53,26.96,10.93,9.25,12.95,2.45,3.58,2.17,4.90,8.97,-0.49
170,37.14,25.99,10.54,8.92,12.49,2.36,3.46,2.09,4.72,8.65,-0.48
171,35.86,25.09,10.17,8.61,12.05,2.28,3.34,2.02,4.56,8.35,-0.46
172,34.68,24.27,9.84,8.33,11.66,2.21,3.23,1.95,4.41,8.07,-0.45
173,33.62,23.53,9.53,8.07,11.30,2.14,3.13,1.89,4.27,7.83,-0.43
174,32.68,22.87,9.27,7.85,10.99,2.08,3.04,1.84,4.16,7.61,-0.42
175,31.87,22.31,9.04,7.66,10.72,2.03,2.96,1.80,4.05,7.42,-0.41
176,31.21,21.84,8.85,7.50,10.49,1.99,2.90,1.76,3.97,7.27,-0.40
177,30.68,21.47,8.70,7.37,10.31,1.95,2.85,1.73,3.90,7.14,-0.39
178,30.30,21.21,8.60,7.28,10.19,1.93,2.82,1.71,3.85,7.06,-0.39
179,30.08,21.05,8.53,7.22,10.11,1.91,2.80,1.70,3.82,7.00,-0.39
180,30.00,20.99,8.51,7.21,10.09,1.91,2.79,1.69,3.81,6.99,-0.39
181,30.08,21.05,8.53,7.22,10.11,1.91,2.80,1.70,3.82,7.00,-0.39
182,30.30,21.21,8.60,7.28,10.19,1.93,2.82,1.71,3.85,7.06,-0.39
183,30.68,21.47,8.70,7.37,10.31,1.95,2.85,1.73,3.90,7.14,-0.39
184,31.21,21.84,8.85,7.50,10.49,1.99,2.90,1.76,3.97,7.27,-0.40
185,31.87,22.31,9.04,7.66,10.72,2.03,2.96,1.80,4.05,7.42,-0.41
186,32.68,22.87,9.27,7.85,10.99,2.08,3.04,1.84,4.16,7.61,-0.42
187,33.62,23.53,9.53,8.07,11.30,2.14,3.13,1.89,4.27,7.83,-0.43
188,34.68,24.27,9.84,8.33,11.66,2.21,3.23,1.95,4.41,8.07,-0.45
189,35.86,25.09,10.17,8.61,12.05,2.28,3.34,2.02,4.56,8.35,-0.46
190,37.14,25.99,10.54,8.92,12.49,2.36,3.46,2.09,4.72,8.65,-0.48
191,38.53,26.96,10.93,9.25,12.95,2.45,3.58,2.17,4.90,8.97,-0.49
192,40.00,27.99,11.35,9.61,13.45,2.55,3.72,2.25,5.09,9.31,-0.51
193,41.55,29.08,11.78,9.98,13.97,2.64,3.86,2.34,5.28,9.67,-0.53
194,43.16,30.20,12.24,10.37,14.51,2.75,4.01,2.43,5.49,10.05,-0.55
195,44.82,31.37,12.71,10.77,15.07,2.85,4.17,2.53,5.70,10.44,-0.58
196,46.53,32.56,13.20,11.17,15.64,2.96,4.33,2.62,5.92,10.83,-0.60
197,48.26,33.77,13.69,11.59,16.22,3.07,4.49,2.72,6.14,11.24,-0.62
198,50.00,34.99,14.18,12.01,16.81,3.18,4.65,2.82,6.36,11.64,-0.64
199,51.74,36.21,14.68,12.43,17.40,3.29,4.81,2.92,6.58,12.05,-0.66
200,53.47,37.42,15.17,12.84,17.98,3.40,4.97,3.01,6.80,12.45,-0.69
201,55.18,38.61,15.65,13.25,18.55,3.51,5.13,3.11,7.02,12.85,-0.71
202,56.84,39.78,16.12,13.65,19.11,3.62,5.29,3.20,7.23,13.23,-0.73
203,58.45,40.91,16.58,14.04,19.65,3.72,5.44,3.29,7.43,13.61,-0.75
204,60.00,41.99,17.02,14.41,20.17,3.82,5.58,3.38,7.63,13.97,-0.77
205,61.47,43.02,17.44,14.76,20.67,3.91,5.72,3.46,7.82,14.31,-0.79
206,62.86,43.99,17.83,15.10,21.13,4.00,5.85,3.54,7.99,14.63,-0.81
207,64.14,44.89,18.19,15.41,21.56,4.08,5.97,3.62,8.16,14.93,-0.82
208,65.32,45.71,18.53,15.69,21.96,4.16,6.08,3.68,8.31,15.21,-0.84
209,66.38,46.46,18.83,15.94,22.32,4.22,6.17,3.74,8.44,15.46,-0.85
210,67.32,47.11,19.09,16.17,22.63,4.28,6.26,3.79,8.56,15.67,-0.86
211,68.13,47.68,19.32,16.36,22.90,4.34,6.34,3.84,8.66,15.86,-0.87
