,N9,N3,N5,N7
0,0.25,0.04,0.04,0.04
1,0.25,0.04,0.04,0.04
2,0.25,0.04,0.04,0.04
3,0.25,0.04,0.04,0.04
4,0.25,0.04,0.04,0.04
5,0.25,0.04,0.04,0.04
6,0.25,0.04,0.04,0.04
7,0.25,0.04,0.04,0.04
8,0.25,0.04,0.04,0.04
9,0.25,0.04,0.04,0.04
10,0.25,0.04,0.04,0.04
11,0.25,0.04,0.04,0.04
12,0.25,0.04,0.04,0.04
13,0.25,0.04,0.04,0.04
14,0.25,0.04,0.04,0.04
15,0.25,0.04,0.04,0.04
16,0.25,0.04,0.04,0.04
17,0.25,0.04,0.04,0.04
18,0.25,0.04,0.04,0.04
19,0.25,0.04,0.04,0.04
20,0.25,0.04,0.04,0.04
21,0.25,0.04,0.04,0.04
22,0.25,0.04,0.04,0.04
23,0.25,0.04,0.04,0.04
24,0.25,0.04,0.04,0.04
25,0.25,0.04,0.04,0.04
26,0.25,0.04,0.04,0.04
27,0.25,0.04,0.04,0.04
28,0.25,0.04,0.04,0.04
29,0.25,0.04,0.04,0.04
30,0.25,0.04,0.04,0.04
31,0.25,0.04,0.04,0.04
32,0.25,0.04,0.04,0.04
33,0.25,0.04,0.04,0.04
34,0.25,0.04,0.04,0.04
35,0.25,0.04,0.04,0.04
36,0.25,0.04,0.04,0.04
37,0.25,0.04,0.04,0.04
38,0.25,0.04,0.04,0.04
39,0.25,0.04,0.04,0.04
40,0.25,0.04,0.04,0.04
41,0.25,0.04,0.04,0.04
42,0.25,0.04,0.04,0.04
43,0.25,0.04,0.04,0.04
44,0.25,0.04,0.04,0.04
45,0.25,0.04,0.04,0.04
46,0.25,0.04,0.04,0.04
47,0.25,0.04,0.04,0.04
48,0.25,0.04,0.04,0.04
49,0.25,0.04,0.04,0.04
50,0.25,0.04,0.04,0.04
51,0.25,0.04,0.04,0.04
52,0.25,0.04,0.04,0.04
53,0.25,0.04,0.04,0.04
54,0.25,0.04,0.04,0.04
55,0.25,0.04,0.04,0.04
56,0.25,0.04,0.04,0.04
57,0.25,0.04,0.04,0.04
58,0.25,0.04,0.04,0.04
59,0.25,0.04,0.04,0.04
60,0.25,0.04,0.04,0.04
61,0.25,0.04,0.04,0.04
62,0.25,0.04,0.04,0.04
63,0.25,0.04,0.04,0.04
64,0.25,0.04,0.04,0.04
65,0.25,0.04,0.04,0.04
66,0.25,0.04,0.04,0.04
67,0.25,0.04,0.04,0.04
68,0.25,0.04,0.04,0.04
69,0.25,0.04,0.04,0.04
70,0.25,0.04,0.04,0.04
71,0.25,0.04,0.04,0.04
72,0.25,0.04,0.04,0.04
73,0.25,0.04,0.04,0.04
74,0.25,0.04,0.04,0.04
75,0.25,0.04,0.04,0.04
76,0.25,0.04,0.04,0.04
77,0.25,0.04,0.04,0.04
78,0.25,0.04,0.04,0.04
79,0.25,0.04,0.04,0.04
80,0.25,0.04,0.04,0.04
81,0.25,0.04,0.04,0.04
82,0.25,0.04,0.04,0.04
83,0.25,0.04,0.04,0.04
84,0.25,0.04,0.04,0.04
85,0.25,0.04,0.04,0.04
86,0.25,0.04,0.04,0.04
87,0.25,0.04,0.04,0.04
88,0.25,0.04,0.04,0.04
89,0.25,0.04,0.04,0.04
90,0.25,0.04,0.04,0.04
91,0.25,0.04,0.04,0.04
92,0.25,0.04,0.04,0.04
93,0.25,0.04,0.04,0.04
94,0.25,0.04,0.04,0.04
95,0.25,0.04,0.04,0.04
96,0.25,0.04,0.04,0.04
97,0.25,0.04,0.04,0.04
98,0.25,0.04,0.04,0.04
99,0.25,0.04,0.04,0.04
100,0.25,0.04,0.04,0.04
101,0.25,0.04,0.04,0.04
102,0.25,0.04,0.04,0.04
103,0.25,0.04,0.04,0.04
104,0.25,0.04,0.04,0.04
105,0.25,0.04,0.04,0.04
106,0.25,0.04,0.04,0.04
107,0.25,0.04,0.04,0.04
108,0.25,0.04,0.04,0.04
109,0.25,0.04,0.04,0.04
110,0.25,0.04,0.04,0.04
111,0.25,0.04,0.04,0.04
112,0.25,0.04,0.04,0.04
113,0.25,0.04,0.04,0.04
114,0.25,0.04,0.04,0.04
115,0.25,0.04,0.04,0.04
116,0.25,0.04,0.04,0.04
117,0.25,0.04,0.04,0.04
118,0.25,0.04,0.04,0.04
119,0.25,0.04,0.04,0.04
120,0.25,0.04,0.04,0.04
121,0.25,0.04,0.04,0.04
122,0.25,0.04,0.04,0.04
123,0.25,0.04,0.04,0.04
124,0.25,0.04,0.04,0.04
125,0.25,0.04,0.04,0.04
126,0.25,0.04,0.04,0.04
127,0.25,0.04,0.04,0.04
128,0.25,0.04,0.04,0.04
129,0.25,0.04,0.04,0.04
130,0.25,0.04,0.04,0.04
131,0.25,0.04,0.04,0.04
132,0.25,0.04,0.04,0.04
133,0.25,0.04,0.04,0.04
134,0.25,0.04,0.04,0.04
135,0.25,0.04,0.04,0.04
136,0.25,0.04,0.04,0.04
137,0.25,0.04,0.04,0.04
138,0.25,0.04,0.04,0.04
139,0.25,0.04,0.04,0.04
140,0.25,0.04,0.04,0.04
141,0.25,0.04,0.04,0.04
142,0.25,0.04,0.04,0.04
143,0.25,0.04,0.04,0.04
144,0.25,0.04,0.04,0.04
145,0.25,0.04,0.04,0.04
146,0.25,0.04,0.04,0.04
147,0.25,0.04,0.04,0.04
148,0.25,0.04,0.04,0.04
149,0.25,0.04,0.04,0.04
150,0.25,0.04,0.04,0.04
151,0.25,0.04,0.04,0.04
152,0.25,0.04,0.04,0.04
153,0.25,0.04,0.04,0.04
154,0.25,0.04,0.04,0.04
155,0.25,0.04,0.04,0.04
156,0.25,0.04,0.04,0.04
157,0.25,0.04,0.04,0.04
158,0.25,0.04,0.04,0.04
159,0.25,0.04,0.04,0.04
160,0.25,0.04,0.04,0.04
161,0.25,0.04,0.04,0.04
162,0.25,0.04,0.04,0.04
163,0.25,0.04,0.04,0.04
164,0.25,0.04,0.04,0.04
165,0.25,0.04,0.04,0.04
166,0.25,0.04,0.04,0.04
167,0.25,0.04,0.04,0.04
168,0.25,0.04,0.04,0.04
169,0.25,0.04,0.04,0.04
170,0.25,0.04,0.04,0.04
171,0.25,0.04,0.04,0.04
172,0.25,0.04,0.04,0.04
173,0.25,0.04,0.04,0.04
174,0.25,0.04,0.04,0.04
175,0.25,0.04,0.04,0.04
176,0.25,0.04,0.04,0.04
177,0.25,0.04,0.04,0.04
178,0.25,0.04,0.04,0.04
179,0.25,0.04,0.04,0.04
180,0.25,0.04,0.04,0.04
181,0.25,0.04,0.04,0.04
182,0.25,0.04,0.04,0.04
183,0.25,0.04,0.04,0.04
184,0.25,0.04,0.04,0.04
185,0.25,0.04,0.04,0.04
186,0.25,0.04,0.04,0.04
187,0.25,0.04,0.04,0.04
188,0.25,0.04,0.04,0.04
189,0.25,0.04,0.04,0.04
190,0.25,0.04,0.04,0.04
191,0.25,0.04,0.04,0.04
192,0.25,0.04,0.04,0.04
193,0.25,0.04,0.04,0.04
194,0.25,0.04,0.04,0.04
195,0.25,0.04,0.04,0.04
196,0.25,0.04,0.04,0.04
197,0.25,0.04,0.04,0.04
198,0.25,0.04,0.04,0.04
199,0.25,0.04,0.04,0.04
200,0.25,0.04,0.04,0.04
201,0.25,0.04,0.04,0.04
202,0.25,0.04,0.04,0.04
203,0.25,0.04,0.04,0.04
204,0.25,0.04,0.04,0.04
205,0.25,0.04,0.04,0.04
