time,N9
0,-70.00
1,-69.92
2,-69.70
3,-69.32
4,-68.79
5,-68.13
6,-67.32
7,-66.38
8,-65.32
9,-64.14
10,-62.86
11,-61.47
12,-60.00
13,-58.45
14,-56.84
15,-55.18
16,-53.47
17,-51.74
18,-50.00
19,-48.26
20,-46.53
21,-44.82
22,-43.16
23,-41.55
24,-40.00
25,-38.53
26,-37.14
27,-35.86
28,-34.68
29,-33.62
30,-32.68
31,-31.87
32,-31.21
33,-30.68
34,-30.30
35,-30.08
36,-30.00
37,-30.08
38,-30.30
39,-30.68
40,-31.21
41,-31.87
42,-32.68
43,-33.62
44,-34.68
45,-35.86
46,-37.14
47,-38.53
48,-40.00
49,-41.55
50,-43.16
51,-44.82
52,-46.53
53,-48.26
54,-50.00
55,-51.74
56,-53.47
57,-55.18
58,-56.84
59,-58.45
60,-60.00
61,-61.47
62,-62.86
63,-64.14
64,-65.32
65,-66.38
66,-67.32
67,-68.13
68,-68.79
69,-69.32
70,-69.70
71,-69.92
72,-70.00
73,-69.92
74,-69.70
75,-69.32
76,-68.79
77,-68.13
78,-67.32
79,-66.38
80,-65.32
81,-64.14
82,-62.86
83,-61.47
84,-60.00
85,-58.45
86,-56.84
87,-55.18
88,-53.47
89,-51.74
90,-50.00
91,-48.26
92,-46.53
93,-44.82
94,-43.16
95,-41.55
96,-40.00
97,-38.53
98,-37.14
99,-35.86
100,-34.68
101,-33.62
102,-32.68
103,-31.87
104,-31.21
105,-30.68
106,-30.30
107,-30.08
108,-30.00
109,-30.08
110,-30.30
111,-30.68
112,-31.21
113,-31.87
114,-32.68
115,-33.62
116,-34.68
117,-35.86
118,-37.14
119,-38.53
120,-40.00
121,-41.55
122,-43.16
123,-44.82
124,-46.53
125,-48.26
126,-50.00
127,-51.74
128,-53.47
129,-55.18
130,-56.84
131,-58.45
132,-60.00
133,-61.47
134,-62.86
135,-64.14
136,-65.32
137,-66.38
138,-67.32
139,-68.13
140,-68.79
141,-69.32
142,-69.70
143,-69.92
144,-70.00
145,-69.92
146,-69.70
147,-69.32
148,-68.79
149,-68.13
150,-67.32
151,-66.38
152,-65.32
153,-64.14
154,-62.86
155,-61.47
156,-60.00
157,-58.45
158,-56.84
159,-55.18
160,-53.47
161,-51.74
162,-50.00
163,-48.26
164,-46.53
165,-44.82
166,-43.16
167,-41.55
168,-40.00
169,-38.53
170,-37.14
171,-35.86
172,-34.68
173,-33.62
174,-32.68
175,-31.87
176,-31.21
177,-30.68
178,-30.30
179,-30.08
180,-30.00
181,-30.08
182,-30.30
183,-30.68
184,-31.21
185,-31.87
186,-32.68
187,-33.62
188,-34.68
189,-35.86
190,-37.14
191,-38.53
192,-40.00
193,-41.55
194,-43.16
195,-44.82
196,-46.53
197,-48.26
198,-50.00
199,-51.74
200,-53.47
201,-55.18
202,-56.84
203,-58.45
204,-60.00
205,-61.47
206,-62.86
207,-64.14
208,-65.32
209,-66.38
210,-67.32
211,-68.13
212,-68.79
213,-69.32
214,-69.70
215,-69.92
216,-70.00
217,-69.92
218,-69.70
219,-69.32
220,-68.79
221,-68.13
222,-67.32
223,-66.38
224,-65.32
225,-64.14
226,-62.86
227,-61.47
228,-60.00
229,-58.45
230,-56.84
231,-55.18
232,-53.47
233,-51.74
234,-50.00
235,-48.26
236,-46.53
237,-44.82
238,-43.16
239,-41.55
240,-40.00
241,-38.53
242,-37.14
243,-35.86
244,-34.68
245,-33.62
246,-32.68
247,-31.87
248,-31.21
249,-30.68
250,-30.30
251,-30.08
252,-30.00
253,-30.08
254,-30.30
255,-30.68
256,-31.21
257,-31.87
258,-32.68
259,-33.62
260,-34.68
261,-35.86
262,-37.14
263,-38.53
264,-40.00
265,-41.55
266,-43.16
267,-44.82
268,-46.53
269,-48.26
270,-50.00
271,-51.74
272,-53.47
273,-55.18
274,-56.84
275,-58.45
276,-60.00
277,-61.47
278,-62.86
279,-64.14
280,-65.32
281,-66.38
282,-67.32
283,-68.13
284,-68.79
285,-69.32
286,-69.70
287,-69.92
288,-70.00
289,-69.92
290,-69.70
291,-69.32
292,-68.79
293,-68.13
294,-67.32
295,-66.38
296,-65.32
297,-64.14
298,-62.86
299,-61.47
300,-60.00
301,-58.45
302,-56.84
303,-55.18
304,-53.47
305,-51.74
306,-50.00
307,-48.26
308,-46.53
309,-44.82
310,-43.16
311,-41.55
312,-40.00
313,-38.53
314,-37.14
315,-35.86
316,-34.68
317,-33.62
318,-32.68
319,-31.87
320,-31.21
321,-30.68
322,-30.30
323,-30.08
324,-30.00
325,-30.08
326,-30.30
327,-30.68
328,-31.21
329,-31.87
330,-32.68
331,-33.62
332,-34.68
333,-35.86
334,-37.14
335,-38.53
336,-40.00
337,-41.55
338,-43.16
339,-44.82
340,-46.53
341,-48.26
342,-50.00
343,-51.74
344,-53.47
345,-55.18
346,-56.84
347,-58.45
348,-60.00
349,-61.47
350,-62.86
351,-64.14
352,-65.32
353,-66.38
354,-67.32
355,-68.13
356,-68.79
357,-69.32
358,-69.70
359,-69.92
360,-70.00
361,-69.92
362,-69.70
363,-69.32
364,-68.79
365,-68.13
366,-67.32
367,-66.38
368,-65.32
369,-64.14
370,-62.86
371,-61.47
372,-60.00
373,-58.45
374,-56.84
375,-55.18
376,-53.47
377,-51.74
378,-50.00
379,-48.26
380,-46.53
381,-44.82
382,-43.16
383,-41.55
384,-40.00
385,-38.53
386,-37.14
387,-35.86
388,-34.68
389,-33.62
390,-32.68
391,-31.87
392,-31.21
393,-30.68
394,-30.30
395,-30.08
396,-30.00
397,-30.08
398,-30.30
399,-30.68
400,-31.21
401,-31.87
402,-32.68
403,-33.62
404,-34.68
405,-35.86
406,-37.14
407,-38.53
408,-40.00
409,-41.55
410,-43.16
411,-44.82
412,-46.53
413,-48.26
414,-50.00
415,-51.74
416,-53.47
417,-55.18
418,-56.84
419,-58.45
420,-60.00
421,-61.47
422,-62.86
423,-64.14
424,-65.32
425,-66.38
426,-67.32
427,-68.13
428,-68.79
429,-69.32
430,-69.70
431,-69.92
432,-70.00
433,-69.92
434,-69.70
435,-69.32
436,-68.79
437,-68.13
438,-67.32
439,-66.38
440,-65.32
441,-64.14
442,-62.86
443,-61.47
444,-60.00
445,-58.45
446,-56.84
447,-55.18
448,-53.47
449,-51.74
450,-50.00
451,-48.26
452,-46.53
453,-44.82
454,-43.16
455,-41.55
456,-40.00
457,-38.53
458,-37.14
459,-35.86
460,-34.68
461,-33.62
462,-32.68
463,-31.87
464,-31.21
465,-30.68
466,-30.30
467,-30.08
468,-30.00
469,-30.08
470,-30.30
471,-30.68
472,-31.21
473,-31.87
474,-32.68
475,-33.62
476,-34.68
477,-35.86
478,-37.14
479,-38.53
480,-40.00
481,-41.55
482,-43.16
483,-44.82
484,-46.53
